SEG FILTER AX BX CX DX AY BY CY DY FILE
01 f606w 3560 3560 3455 3434 7321 6920 6920 7343 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_01_acs_wfc_f606w_30mas_unrot_drz.fits
01 f814w 3560 3560 3455 3434 7321 6920 6920 7343 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_01_acs_wfc_f814w_30mas_unrot_drz.fits
07 f606w 6129 6138 6913 6985 1311 1900 1900 1329 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_07_acs_wfc_f606w_30mas_unrot_drz.fits
07 f814w 6129 6138 6913 6985 1311 1900 1900 1329 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_07_acs_wfc_f814w_30mas_unrot_drz.fits
0g f606w 4997 4976 5821 5863 4236 5082 5039 4300 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0g_acs_wfc_f606w_30mas_unrot_drz.fits
0g f814w 4997 4976 5821 5863 4236 5082 5039 4300 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0g_acs_wfc_f814w_30mas_unrot_drz.fits
0g f606w 4679 4722 4839 4791 6716 5037 5037 6427 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0g_acs_wfc_f606w_30mas_unrot_drz.fits
0g f814w 4679 4722 4839 4791 6716 5037 5037 6427 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0g_acs_wfc_f814w_30mas_unrot_drz.fits
0g f606w 4763 4166 4799 5245 5169 4643 3983 4670 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0g_acs_wfc_f606w_30mas_unrot_drz.fits
0g f814w 4763 4166 4799 5245 5169 4643 3983 4670 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0g_acs_wfc_f814w_30mas_unrot_drz.fits
0g f606w 1147 1120 7001 7010 4527 4493 4732 4786 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0g_acs_wfc_f606w_30mas_unrot_drz.fits
0g f814w 1147 1120 7001 7010 4527 4493 4732 4786 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0g_acs_wfc_f814w_30mas_unrot_drz.fits
0g f606w 4781 4895 4931 4815 4010 1226 1244 4035 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0g_acs_wfc_f606w_30mas_unrot_drz.fits
0g f814w 4781 4895 4931 4815 4010 1226 1244 4035 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0g_acs_wfc_f814w_30mas_unrot_drz.fits
0l f606w 384 387 1288 1275 6734 6700 6744 6759 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0l_acs_wfc_f606w_30mas_unrot_drz.fits
0l f814w 384 387 1288 1275 6734 6700 6744 6759 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0l_acs_wfc_f814w_30mas_unrot_drz.fits
0p f606w 2509 2546 2568 2512 1322 160 160 1410 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0p_acs_wfc_f606w_30mas_unrot_drz.fits
0p f814w 2509 2546 2568 2512 1322 160 160 1410 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0p_acs_wfc_f814w_30mas_unrot_drz.fits
0t f606w 5679 5679 6710 6710 1173 2166 2160 1173 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0t_acs_wfc_f606w_30mas_unrot_drz.fits
0t f814w 5679 5679 6710 6710 1173 2166 2160 1173 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0t_acs_wfc_f814w_30mas_unrot_drz.fits
0t f606w 2398 1638 1976 2631 4976 5716 5863 5103 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0t_acs_wfc_f606w_30mas_unrot_drz.fits
0t f814w 2398 1638 1976 2631 4976 5716 5863 5103 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0t_acs_wfc_f814w_30mas_unrot_drz.fits
0t f606w 2187 1532 1743 2398 5652 6202 6434 5885 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0t_acs_wfc_f606w_30mas_unrot_drz.fits
0t f814w 2187 1532 1743 2398 5652 6202 6434 5885 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0t_acs_wfc_f814w_30mas_unrot_drz.fits
0w f606w 306 306 940 940 2166 2229 2250 2187 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0w_acs_wfc_f606w_30mas_unrot_drz.fits
0w f814w 306 306 940 940 2166 2229 2250 2187 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0w_acs_wfc_f814w_30mas_unrot_drz.fits
0x f606w 3262 3129 3373 3329 6102 7145 7167 5969 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_0x_acs_wfc_f606w_30mas_unrot_drz.fits
0x f814w 3262 3129 3373 3329 6102 7145 7167 5969 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_0x_acs_wfc_f814w_30mas_unrot_drz.fits
10 f606w 6920 6883 7070 7057 4327 3997 3975 4383 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_10_acs_wfc_f606w_30mas_unrot_drz.fits
10 f814w 6920 6883 7070 7057 4327 3997 3975 4383 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_10_acs_wfc_f814w_30mas_unrot_drz.fits
10 f606w 6079 6076 6951 6948 4184 4156 4181 4240 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_10_acs_wfc_f606w_30mas_unrot_drz.fits
10 f814w 6079 6076 6951 6948 4184 4156 4181 4240 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_10_acs_wfc_f814w_30mas_unrot_drz.fits
11 f606w 6455 6413 7026 7026 5610 5758 5758 5631 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_11_acs_wfc_f606w_30mas_unrot_drz.fits
11 f814w 6455 6413 7026 7026 5610 5758 5758 5631 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_11_acs_wfc_f814w_30mas_unrot_drz.fits
15 f606w 4258 4194 4342 4321 6497 7385 7385 6476 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_15_acs_wfc_f606w_30mas_unrot_drz.fits
15 f814w 4258 4194 4342 4321 6497 7385 7385 6476 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_15_acs_wfc_f814w_30mas_unrot_drz.fits
16 f606w 3359 3359 2666 2666 610 1284 1284 610 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_16_acs_wfc_f606w_30mas_unrot_drz.fits
16 f814w 3359 3359 2666 2666 610 1284 1284 610 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_16_acs_wfc_f814w_30mas_unrot_drz.fits
16 f606w 4203 4240 4285 4225 1902 631 631 1804 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_16_acs_wfc_f606w_30mas_unrot_drz.fits
16 f814w 4203 4240 4285 4225 1902 631 631 1804 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_16_acs_wfc_f814w_30mas_unrot_drz.fits
16 f606w 3616 3620 4779 4779 1181 1147 1192 1226 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_16_acs_wfc_f606w_30mas_unrot_drz.fits
