X0             Y0             Theta          X              Y              
35.0000        35.0000        3.1651         30.0031        34.8827        
35.0000        35.0000        3.2127         30.0030        34.6441        
35.0000        35.0000        3.2603         30.0029        34.4040        
35.0000        35.0000        3.3079         30.0029        34.1611        
35.0000        35.0000        3.3555         30.0029        33.9142        
35.0000        35.0000        3.4032         30.0029        33.6622        
35.0000        35.0000        3.4508         30.0028        33.4037        
35.0000        35.0000        3.4984         30.0028        33.1372        
35.0000        35.0000        3.5460         30.0027        32.8610        
35.0000        35.0000        3.5936         30.0028        32.5734        
35.0000        35.0000        3.6413         30.0027        32.2721        
35.0000        35.0000        3.6889         30.0027        31.9547        
35.0000        35.0000        3.7365         30.0027        31.6183        
35.0000        35.0000        3.7841         30.0026        31.2595        
35.0000        35.0000        3.8318         30.0025        30.8741        
35.0000        35.0000        3.8794         30.0025        30.4572        
35.0000        35.0000        3.9270         30.0025        30.0027        
35.0000        35.0000        3.9746         30.4572        30.0025        
35.0000        35.0000        4.0222         30.8741        30.0025        
35.0000        35.0000        4.0699         31.2595        30.0026        
35.0000        35.0000        4.1175         31.6184        30.0027        
35.0000        35.0000        4.1651         31.9548        30.0027        
35.0000        35.0000        4.2127         32.2722        30.0027        
35.0000        35.0000        4.2604         32.5735        30.0027        
35.0000        35.0000        4.3080         32.8612        30.0028        
35.0000        35.0000        4.3556         33.1373        30.0028        
35.0000        35.0000        4.4032         33.4039        30.0029        
35.0000        35.0000        4.4509         33.6624        30.0029        
35.0000        35.0000        4.4985         33.9144        30.0029        
35.0000        35.0000        4.5461         34.1613        30.0029        
35.0000        35.0000        4.5937         34.4042        30.0029        
35.0000        35.0000        4.6413         34.6444        30.0030        
35.0000        35.0000        4.6890         34.8829        30.0030        
35.0000        35.0000        4.7366         35.1210        30.0030        
35.0000        35.0000        4.7842         35.3595        30.0030        
35.0000        35.0000        4.8318         35.5997        30.0031        
35.0000        35.0000        4.8795         35.8427        30.0031        
35.0000        35.0000        4.9271         36.0896        30.0031        
35.0000        35.0000        4.9747         36.3417        30.0032        
35.0000        35.0000        5.0223         36.6003        30.0033        
35.0000        35.0000        5.0700         36.8669        30.0032        
35.0000        35.0000        5.1176         37.1432        30.0032        
35.0000        35.0000        5.1652         37.4310        30.0034        
35.0000        35.0000        5.2128         37.7325        30.0033        
35.0000        35.0000        5.2605         38.0501        30.0034        
35.0000        35.0000        5.3081         38.3868        30.0034        
35.0000        35.0000        5.3557         38.7458        30.0036        
35.0000        35.0000        5.4033         39.1315        30.0036        
35.0000        35.0000        5.4509         39.5489        30.0037        
35.0000        35.0000        5.4986         40.0021        30.0038        
35.0000        35.0000        -0.7370        40.0031        30.4588        
35.0000        35.0000        -0.6895        40.0033        30.8751        
35.0000        35.0000        -0.6419        40.0032        31.2602        
35.0000        35.0000        -0.5943        40.0034        31.6186        
35.0000        35.0000        -0.5467        40.0034        31.9548        
35.0000        35.0000        -0.4992        40.0034        32.2721        
35.0000        35.0000        -0.4516        40.0035        32.5733        
35.0000        35.0000        -0.4040        40.0035        32.8609        
35.0000        35.0000        -0.3564        40.0036        33.1370        
35.0000        35.0000        -0.3088        40.0036        33.4036        
35.0000        35.0000        -0.2613        40.0037        33.6621        
35.0000        35.0000        -0.2137        40.0038        33.9141        
35.0000        35.0000        -0.1661        40.0037        34.1611        
35.0000        35.0000        -0.1185        40.0039        34.4041        
35.0000        35.0000        -0.0710        40.0039        34.6443        
35.0000        35.0000        -0.0234        40.0038        34.8830        
35.0000        35.0000        0.0242         40.0039        35.1211        
35.0000        35.0000        0.0718         40.0040        35.3597        
35.0000        35.0000        0.1193         40.0040        35.6001        
35.0000        35.0000        0.1669         40.0041        35.8431        
35.0000        35.0000        0.2145         40.0041        36.0901        
35.0000        35.0000        0.2621         40.0042        36.3424        
35.0000        35.0000        0.3097         40.0043        36.6011        
35.0000        35.0000        0.3572         40.0043        36.8678        
35.0000        35.0000        0.4048         40.0043        37.1442        
35.0000        35.0000        0.4524         40.0044        37.4321        
35.0000        35.0000        0.5000         40.0045        37.7337        
35.0000        35.0000        0.5475         40.0046        38.0514        
35.0000        35.0000        0.5951         40.0047        38.3881        
35.0000        35.0000        0.6427         40.0047        38.7472        
35.0000        35.0000        0.6903         40.0049        39.1330        
35.0000        35.0000        0.7378         40.0050        39.5503        
35.0000        35.0000        0.7854         40.0051        40.0048        
35.0000        35.0000        0.8330         39.5497        40.0049        
35.0000        35.0000        0.8806         39.1324        40.0047        
35.0000        35.0000        0.9282         38.7468        40.0047        
35.0000        35.0000        0.9757         38.3876        40.0045        
35.0000        35.0000        1.0233         38.0510        40.0045        
35.0000        35.0000        1.0709         37.7333        40.0044        
35.0000        35.0000        1.1185         37.4317        40.0043        
35.0000        35.0000        1.1661         37.1438        40.0043        
35.0000        35.0000        1.2136         36.8674        40.0041        
35.0000        35.0000        1.2612         36.6007        40.0041        
35.0000        35.0000        1.3088         36.3419        40.0040        
35.0000        35.0000        1.3564         36.0898        40.0040        
35.0000        35.0000        1.4039         35.8427        40.0040        
35.0000        35.0000        1.4515         35.5997        40.0039        
35.0000        35.0000        1.4991         35.3594        40.0039        
35.0000        35.0000        1.5467         35.1207        40.0039        
35.0000        35.0000        1.5943         34.8826        40.0038        
35.0000        35.0000        1.6418         34.6439        40.0037        
35.0000        35.0000        1.6894         34.4036        40.0037        
35.0000        35.0000        1.7370         34.1606        40.0036        
35.0000        35.0000        1.7846         33.9137        40.0035        
35.0000        35.0000        1.8322         33.6617        40.0035        
35.0000        35.0000        1.8797         33.4031        40.0036        
35.0000        35.0000        1.9273         33.1365        40.0035        
35.0000        35.0000        1.9749         32.8604        40.0035        
35.0000        35.0000        2.0225         32.5727        40.0034        
35.0000        35.0000        2.0701         32.2715        40.0034        
35.0000        35.0000        2.1176         31.9542        40.0032        
35.0000        35.0000        2.1652         31.6180        40.0033        
35.0000        35.0000        2.2128         31.2594        40.0032        
35.0000        35.0000        2.2604         30.8743        40.0032        
35.0000        35.0000        2.3079         30.4578        40.0031        
35.0000        35.0000        2.3555         30.0038        40.0032        
35.0000        35.0000        2.4031         30.0036        39.5479        
35.0000        35.0000        2.4508         30.0036        39.1307        
35.0000        35.0000        2.4984         30.0035        38.7451        
35.0000        35.0000        2.5460         30.0035        38.3860        
35.0000        35.0000        2.5936         30.0035        38.0494        
35.0000        35.0000        2.6412         30.0034        37.7319        
35.0000        35.0000        2.6889         30.0034        37.4305        
35.0000        35.0000        2.7365         30.0033        37.1427        
35.0000        35.0000        2.7841         30.0033        36.8664        
35.0000        35.0000        2.8317         30.0033        36.5999        
35.0000        35.0000        2.8793         30.0032        36.3413        
35.0000        35.0000        2.9270         30.0032        36.0892        
35.0000        35.0000        2.9746         30.0032        35.8423        
35.0000        35.0000        3.0222         30.0032        35.5994        
35.0000        35.0000        3.0698         30.0031        35.3592        
35.0000        35.0000        3.1174         30.0031        35.1207        
