# ACS wfc_F775W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/
#
# Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-5
#
# Wavelength(nm)  Throughput(0-1)
     652.30       0.00033
     680.00       0.00423
     682.30       0.00812
     684.40       0.01448
     686.20       0.02286
     687.60       0.03240
     690.00       0.05467
     691.40       0.07230
     692.50       0.08622
     694.50       0.11785
     695.80       0.14117
     697.20       0.16939
     698.40       0.18879
     699.80       0.21619
     701.20       0.24482
     703.30       0.27833
     704.20       0.29315
     705.90       0.31380
     707.20       0.33160
     708.50       0.34580
     709.30       0.35383
     710.30       0.36129
     711.70       0.37764
     712.20       0.38105
     713.10       0.38044
     714.20       0.39118
     715.40       0.39936
     716.10       0.40455
     717.20       0.40399
     719.60       0.41405
     721.20       0.42291
     722.50       0.42563
     723.40       0.42692
     724.30       0.42723
     725.10       0.42965
     726.10       0.42586
     727.20       0.42994
     728.20       0.42822
     729.10       0.42284
     730.30       0.42695
     731.50       0.43315
     732.30       0.43407
     733.50       0.42910
     734.10       0.42679
     735.10       0.43271
     736.30       0.43152
     737.10       0.42977
     738.10       0.43507
     739.20       0.43040
     741.10       0.43159
     742.50       0.42512
     743.60       0.42382
     744.50       0.42141
     745.30       0.41910
     746.60       0.41862
     748.40       0.41794
     750.40       0.41882
     751.50       0.41907
     752.80       0.42386
     753.80       0.42329
     755.30       0.42300
     756.50       0.42068
     758.20       0.41964
     760.20       0.41416
     761.70       0.41462
     763.10       0.41463
     765.10       0.40870
     766.60       0.41097
     767.30       0.41035
     769.20       0.40083
     772.40       0.38832
     773.70       0.38322
     774.80       0.38117
     776.30       0.38081
     777.30       0.37934
     779.40       0.38357
     781.40       0.38600
     782.70       0.38701
     784.20       0.38632
     785.10       0.38763
     786.10       0.37893
     787.20       0.37963
     788.60       0.37486
     792.20       0.36603
     793.50       0.36400
     795.30       0.35936
     796.30       0.35564
     797.40       0.35427
     800.70       0.34575
     802.10       0.33921
     803.40       0.33926
     804.50       0.33866
     807.00       0.33890
     808.80       0.34047
     810.50       0.34084
     811.50       0.34057
     812.80       0.33970
     816.10       0.33436
     817.20       0.33505
     818.30       0.33288
     819.40       0.33269
     820.40       0.33196
     821.30       0.33214
     823.30       0.32670
     824.80       0.31781
     825.70       0.31716
     827.00       0.31495
     829.30       0.30463
     830.10       0.30023
     831.10       0.30133
     832.10       0.29549
     833.10       0.29586
     834.10       0.29023
     835.30       0.29081
     836.70       0.28603
     837.60       0.28553
     839.70       0.28622
     842.20       0.28434
     844.70       0.27324
     846.70       0.26125
     848.70       0.24888
     849.50       0.24006
     851.00       0.21776
     852.10       0.19095
     853.20       0.15684
     855.10       0.09083
     856.10       0.06105
     857.10       0.03979
     858.10       0.02496
     859.40       0.01473
     860.80       0.00843
     862.70       0.00439
     865.40       0.00184
     869.20       0.00076
     875.60       0.00012
