# ACS wfc_F850LP total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/
#
# Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-5
#
# Wavelength(nm)  Throughput(0-1)
     775.30       0.00004
     786.80       0.00022
     793.40       0.00066
     797.80       0.00143
     800.30       0.00231
     804.20       0.00533
     807.10       0.00854
     808.90       0.01172
     810.80       0.01602
     812.60       0.02081
     814.60       0.02734
     817.10       0.03794
     819.00       0.04757
     820.80       0.05820
     822.30       0.06697
     823.50       0.07486
     825.00       0.08400
     827.40       0.10393
     829.10       0.11721
     830.50       0.12911
     831.30       0.13400
     832.10       0.13766
     833.10       0.14945
     835.10       0.16450
     836.10       0.16956
     837.00       0.17953
     838.20       0.18468
     839.40       0.19177
     840.20       0.19648
     841.10       0.20428
     842.10       0.20724
     843.00       0.20599
     844.00       0.21737
     845.40       0.21983
     846.10       0.22091
     847.20       0.22770
     849.00       0.23476
     850.70       0.23799
     852.30       0.24312
     855.00       0.24725
     856.20       0.24750
     857.50       0.24980
     860.00       0.25068
     861.00       0.25515
     862.10       0.25240
     863.10       0.25311
     864.00       0.24845
     865.10       0.25189
     866.30       0.25104
     867.30       0.25111
     868.40       0.25017
     869.60       0.24985
     871.30       0.24910
     872.90       0.24705
     874.20       0.24574
     875.20       0.24615
     876.20       0.24400
     877.30       0.24350
     878.60       0.24174
     880.30       0.23992
     881.70       0.23811
     882.70       0.23529
     883.80       0.23332
     885.20       0.23383
     889.10       0.22833
     891.00       0.22557
     892.20       0.22286
     894.10       0.22149
     896.40       0.21759
     898.40       0.21466
     900.10       0.21271
     901.50       0.21012
     902.60       0.20836
     904.50       0.20518
     907.60       0.20045
     909.30       0.19807
     910.40       0.19604
     911.60       0.19459
     913.40       0.19173
     914.60       0.18958
     916.20       0.18744
     917.10       0.18754
     918.20       0.18343
     920.90       0.18031
     922.30       0.17738
     923.60       0.17584
     925.60       0.17268
     926.80       0.17148
     930.30       0.16662
     932.50       0.16256
     934.50       0.16006
     936.60       0.15671
     939.30       0.15226
     940.70       0.14956
     942.70       0.14556
     945.40       0.14046
     947.20       0.13690
     949.70       0.13205
     954.10       0.12230
     958.20       0.11624
     962.20       0.10856
     966.90       0.10052
     970.50       0.09395
     975.90       0.08500
     980.00       0.07822
     983.30       0.07468
     987.30       0.06999
     991.70       0.06505
     995.80       0.06041
     999.50       0.05623
    1002.70       0.05313
    1007.60       0.04892
    1012.90       0.04425
    1020.00       0.03767
    1033.30       0.02876
    1040.90       0.02368
    1060.00       0.01381
    1080.00       0.00627
    1084.20       0.00327
    1088.40       0.00117
    1090.70       0.00040
