# LSST g-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     347.00       0.00004
     377.40       0.00000
     383.90       0.00000
     387.00       0.01148
     388.00       0.02234
     388.70       0.02794
     391.00       0.03570
     391.70       0.04528
     393.30       0.06927
     395.90       0.11316
     396.20       0.11546
     396.60       0.11698
     397.90       0.13390
     399.60       0.18219
     401.00       0.21621
     401.80       0.23037
     403.20       0.24116
     404.00       0.25031
     405.10       0.27960
     405.90       0.30026
     408.10       0.34152
     409.40       0.35950
     410.20       0.36648
     410.70       0.37201
     412.80       0.40396
     413.20       0.40693
     418.00       0.41433
     419.60       0.42095
     421.00       0.42548
     422.50       0.42532
     423.40       0.42594
     429.00       0.44208
     429.30       0.44206
     430.50       0.44242
     431.60       0.44472
     433.40       0.44713
     436.60       0.45344
     439.00       0.45644
     439.40       0.45763
     440.00       0.45940
     446.50       0.46753
     446.90       0.46883
     447.40       0.47067
     448.00       0.47294
     451.40       0.48014
     451.90       0.48166
     452.10       0.48212
     453.90       0.48318
     457.60       0.48777
     459.90       0.48923
     461.80       0.49150
     464.00       0.49423
     468.00       0.50307
     470.40       0.50389
     472.00       0.50581
     472.40       0.50639
     474.30       0.50737
     480.30       0.51190
     480.60       0.51263
     483.20       0.51701
     484.00       0.51678
     484.40       0.51676
     484.50       0.51676
     492.20       0.52893
     492.50       0.52915
     493.40       0.52954
     495.00       0.52957
     497.00       0.53329
     497.60       0.53366
     500.90       0.53314
     504.00       0.53144
     508.00       0.53483
     514.60       0.53178
     519.20       0.53221
     520.00       0.53244
     521.00       0.53156
     522.80       0.52511
     523.60       0.52197
     523.90       0.52087
     524.30       0.52008
     525.00       0.51909
     527.30       0.52401
     534.10       0.53019
     534.60       0.52989
     535.70       0.52844
     537.10       0.52282
     538.20       0.51318
     539.00       0.50245
     542.00       0.44720
     543.00       0.43099
     544.30       0.41105
     545.90       0.39012
     546.30       0.38379
     547.00       0.37193
     548.00       0.34326
     549.70       0.27790
     551.00       0.23267
     551.80       0.21270
     554.20       0.16849
     555.00       0.15056
     555.60       0.13163
     558.00       0.05167
     558.60       0.03873
     559.50       0.02370
     560.00       0.01729
     561.70       0.00725
     564.00       0.00242
     569.20       0.00040
     577.00       0.00007
     599.80       0.00000
     675.80       0.00001
     760.90       0.00001
     822.30       0.00000
     896.20       0.00001
     897.20       0.00003
     897.50       0.00004
     902.40       0.00006
     903.00       0.00008
     908.60       0.00004
     949.20       0.00001
     998.40       0.00000
    1038.90       0.00000
    1101.00       0.00000
