# LSST i-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     312.10       0.00001
     342.90       0.00001
     379.00       0.00001
     391.10       0.00053
     392.00       0.00017
     401.00       0.00004
     401.90       0.00002
     416.50       0.00001
     455.00       0.00002
     455.60       0.00002
     494.90       0.00001
     496.00       0.00000
     524.40       0.00001
     529.90       0.00001
     544.40       0.00011
     548.30       0.00021
     548.60       0.00015
     549.30       0.00005
     549.80       0.00002
     590.10       0.00001
     590.20       0.00002
     593.30       0.00003
     623.00       0.00002
     644.00       0.00019
     651.00       0.00090
     658.20       0.00269
     663.00       0.00449
     666.00       0.00788
     668.00       0.01365
     669.50       0.02317
     670.90       0.03829
     672.20       0.05792
     673.00       0.06965
     673.80       0.07687
     676.20       0.08819
     677.00       0.09408
     677.40       0.09848
     680.50       0.13231
     682.00       0.15107
     683.00       0.16676
     683.90       0.18214
     686.10       0.22435
     686.30       0.22194
     686.50       0.21915
     687.00       0.21051
     687.90       0.23493
     689.40       0.28535
     690.80       0.32301
     691.80       0.34223
     692.00       0.34575
     694.30       0.37164
     695.00       0.38169
     695.60       0.39341
     696.80       0.42414
     698.00       0.45712
     700.00       0.50350
     701.10       0.52037
     701.50       0.52324
     702.20       0.52742
     703.00       0.52979
     704.70       0.52348
     706.00       0.52182
     707.00       0.52295
     708.80       0.53026
     711.00       0.53979
     712.00       0.54166
     713.00       0.54232
     714.60       0.53915
     715.60       0.53322
     715.90       0.53073
     717.40       0.50132
     718.20       0.49218
     719.00       0.48871
     719.60       0.49301
     719.90       0.49516
     721.00       0.52416
     721.20       0.52481
     721.80       0.52677
     722.00       0.52742
     723.10       0.50611
     723.50       0.50601
     724.60       0.50857
     725.40       0.51219
     726.50       0.51200
     726.70       0.51083
     728.30       0.51710
     729.60       0.51827
     730.70       0.52027
     732.10       0.53099
     732.70       0.53244
     733.90       0.53571
     735.20       0.53571
     735.80       0.53569
     740.00       0.54229
     741.70       0.54320
     743.50       0.54369
     751.10       0.53805
     752.80       0.53809
     754.40       0.53904
     756.80       0.54069
     757.80       0.53926
     758.00       0.53884
     758.40       0.48929
     758.90       0.42727
     759.00       0.41486
     760.00       0.19030
     760.10       0.19906
     760.20       0.20782
     760.70       0.25164
     761.00       0.27793
     762.00       0.34829
     763.00       0.30352
     763.80       0.34687
     765.20       0.43185
     766.10       0.47175
     767.00       0.50369
     768.00       0.51580
     769.30       0.52428
     771.00       0.53012
     776.10       0.52965
     779.00       0.52749
     783.30       0.52372
     784.60       0.52252
     784.90       0.52235
     790.00       0.51399
     790.50       0.51393
     791.90       0.51306
     794.00       0.51545
     795.40       0.51147
     795.90       0.50925
     797.60       0.51110
     799.00       0.50891
     802.00       0.49169
     802.60       0.48629
     804.00       0.47321
     806.00       0.45204
     811.00       0.38891
     812.00       0.37519
     815.20       0.32373
     815.80       0.31272
     817.40       0.29159
     818.10       0.27939
     818.30       0.27786
     819.00       0.27222
     820.00       0.25505
     820.80       0.24874
     821.50       0.23504
     821.90       0.22558
     823.00       0.18290
     823.10       0.18266
     823.30       0.18208
     824.30       0.17469
     824.60       0.17027
     824.80       0.16726
     825.60       0.15218
     828.20       0.10648
     828.40       0.10388
     829.50       0.09036
     832.30       0.05970
     835.00       0.03835
     836.00       0.03190
     838.00       0.02214
     840.00       0.01546
     842.00       0.01100
     845.00       0.00700
     848.00       0.00474
     852.00       0.00306
     858.00       0.00181
     868.00       0.00073
     877.20       0.00034
     908.00       0.00008
     977.30       0.00000
    1101.00       0.00000
