# LSST r-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     317.80       0.00000
     397.00       0.00003
     482.00       0.00002
     491.00       0.00021
     510.60       0.00025
     518.00       0.00104
     524.00       0.00348
     528.00       0.00726
     531.10       0.01332
     533.00       0.02032
     534.70       0.03103
     536.00       0.04255
     539.80       0.08793
     540.40       0.09362
     541.40       0.10154
     543.20       0.11495
     545.00       0.13772
     546.00       0.15951
     547.00       0.19016
     548.00       0.22946
     549.00       0.27407
     549.80       0.30673
     551.00       0.34340
     551.80       0.35542
     554.50       0.37659
     555.20       0.38430
     556.50       0.40615
     557.00       0.41625
     557.70       0.43421
     560.10       0.50044
     560.30       0.50421
     561.30       0.51960
     562.00       0.52479
     563.80       0.52278
     565.40       0.52024
     568.60       0.51905
     569.10       0.51889
     574.00       0.52460
     574.80       0.52307
     577.10       0.51835
     578.90       0.51836
     583.00       0.52898
     584.70       0.52775
     587.90       0.51803
     588.30       0.51643
     588.90       0.51386
     589.40       0.51369
     593.40       0.52207
     593.90       0.52225
     594.60       0.52144
     595.60       0.52205
     599.00       0.51880
     600.00       0.51881
     601.90       0.52044
     602.90       0.52251
     605.20       0.52570
     609.20       0.52403
     610.30       0.52435
     614.20       0.53137
     616.20       0.53177
     617.90       0.53061
     619.00       0.52952
     621.00       0.53143
     621.50       0.53243
     625.00       0.53629
     626.40       0.53474
     626.90       0.53366
     628.10       0.51889
     628.60       0.52243
     629.70       0.52612
     632.60       0.53706
     634.00       0.53939
     635.60       0.53886
     636.10       0.53845
     638.60       0.53689
     639.00       0.53676
     644.00       0.54626
     645.10       0.54628
     646.40       0.54407
     646.80       0.54306
     648.00       0.54071
     648.60       0.54119
     650.40       0.54538
     652.60       0.54906
     653.40       0.55129
     653.70       0.55141
     657.30       0.54951
     657.80       0.54914
     663.40       0.55267
     665.00       0.55294
     666.40       0.55257
     672.60       0.55002
     674.00       0.54684
     675.00       0.54201
     677.00       0.52220
     682.60       0.43641
     683.70       0.41986
     685.00       0.39969
     686.00       0.37843
     686.40       0.34437
     686.90       0.30351
     687.20       0.29199
     687.60       0.28478
     687.80       0.28116
     688.70       0.27211
     691.50       0.23972
     692.10       0.23174
     693.00       0.21809
     694.50       0.18687
     695.60       0.16035
     696.20       0.14443
     699.00       0.06369
     699.40       0.05530
     701.00       0.02814
     702.10       0.01793
     704.30       0.00772
     706.00       0.00423
     708.00       0.00229
     711.00       0.00102
     715.60       0.00038
     725.00       0.00013
     776.00       0.00003
     812.70       0.00003
     819.70       0.00019
     821.10       0.00081
     826.30       0.00004
     834.00       0.00040
     840.20       0.00001
     926.00       0.00003
     960.90       0.00003
    1028.20       0.00002
    1048.30       0.00002
    1101.00       0.00000
