# LSST u-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     309.90       0.00006
     312.00       0.00039
     314.00       0.00175
     315.00       0.00319
     315.70       0.00679
     316.00       0.00846
     316.40       0.01556
     318.20       0.05095
     318.80       0.06088
     319.00       0.06441
     320.10       0.06814
     320.70       0.07534
     321.80       0.09184
     322.00       0.09509
     322.30       0.10697
     323.50       0.15763
     324.00       0.18077
     324.10       0.18146
     324.50       0.18418
     326.00       0.19448
     326.20       0.19678
     326.90       0.20493
     328.00       0.21139
     328.20       0.21450
     329.10       0.22802
     329.60       0.23242
     330.00       0.23596
     330.80       0.23514
     331.00       0.23493
     332.20       0.24574
     332.60       0.24759
     332.90       0.24897
     334.10       0.24910
     334.60       0.25404
     335.00       0.25801
     335.70       0.26019
     336.00       0.26113
     336.80       0.26005
     337.00       0.25978
     339.50       0.26817
     341.30       0.27195
     341.90       0.27328
     342.40       0.27347
     344.30       0.27146
     345.60       0.27130
     346.10       0.27073
     347.50       0.26949
     348.00       0.26929
     350.30       0.27264
     350.90       0.27278
     352.00       0.27228
     354.00       0.26925
     357.00       0.26311
     358.00       0.26212
     360.20       0.26277
     361.60       0.26428
     362.70       0.26539
     364.00       0.26584
     367.20       0.26463
     367.60       0.26496
     369.60       0.26636
     369.70       0.26640
     371.40       0.27101
     374.20       0.27814
     375.00       0.28000
     376.00       0.28339
     379.10       0.29633
     379.50       0.29753
     381.00       0.30250
     381.60       0.30121
     381.90       0.30055
     382.00       0.30033
     383.20       0.28236
     383.60       0.27736
     384.00       0.27231
     386.20       0.23885
     386.70       0.23262
     387.10       0.22821
     388.10       0.22197
     389.00       0.21838
     389.70       0.21055
     390.00       0.20715
     390.80       0.18764
     390.90       0.18518
     392.20       0.14463
     393.00       0.12047
     393.20       0.11600
     394.00       0.09793
     395.00       0.08316
     396.00       0.07388
     396.90       0.06763
     397.80       0.06037
     398.00       0.05872
     400.20       0.03494
     401.00       0.02768
     402.00       0.02167
     403.00       0.01816
     405.40       0.01386
     408.10       0.00728
     409.00       0.00577
     409.60       0.00524
     410.70       0.00457
     415.50       0.00268
     415.80       0.00232
     418.70       0.00071
     421.00       0.00033
     425.00       0.00011
     433.00       0.00003
     468.20       0.00000
     486.00       0.00003
     488.50       0.00001
     569.20       0.00003
     596.00       0.00000
     604.30       0.00003
     604.90       0.00004
     610.00       0.00007
     618.30       0.00007
     620.00       0.00008
     629.90       0.00005
     632.70       0.00004
     654.40       0.00004
     659.90       0.00007
     661.00       0.00004
     667.30       0.00001
     668.50       0.00002
     701.10       0.00003
     703.10       0.00001
     705.40       0.00001
     758.00       0.00002
     764.70       0.00001
     774.50       0.00022
     786.70       0.00005
     790.90       0.00004
     812.60       0.00003
     818.10       0.00002
     819.90       0.00003
     867.20       0.00001
     874.30       0.00000
     929.30       0.00001
     930.20       0.00002
     944.70       0.00001
    1071.10       0.00000
    1076.70       0.00000
    1101.00       0.00000
