# LSST y-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     383.90       0.00000
     387.30       0.00000
     387.80       0.00001
     389.50       0.00050
     392.30       0.00000
     405.10       0.00000
     417.70       0.00012
     418.00       0.00001
     421.00       0.00002
     425.40       0.00000
     426.20       0.00018
     426.90       0.00081
     428.70       0.00000
     431.00       0.00000
     448.90       0.00000
     450.10       0.00000
     454.00       0.00000
     455.50       0.00057
     458.30       0.00000
     471.90       0.00003
     491.10       0.00004
     505.70       0.00020
     506.60       0.00009
     506.80       0.00007
     508.00       0.00003
     514.00       0.00000
     534.00       0.00004
     537.10       0.00006
     538.20       0.00010
     544.70       0.00002
     556.30       0.00002
     565.70       0.00002
     599.60       0.00006
     601.00       0.00002
     624.30       0.00001
     625.90       0.00002
     630.90       0.00030
     632.50       0.00054
     636.70       0.00003
     641.20       0.00003
     643.60       0.00005
     645.50       0.00010
     645.70       0.00011
     654.90       0.00007
     676.00       0.00000
     681.20       0.00001
     726.00       0.00000
     755.30       0.00000
     781.10       0.00002
     823.10       0.00004
     842.00       0.00015
     858.10       0.00033
     864.00       0.00033
     868.00       0.00060
     875.40       0.00229
     879.00       0.00289
     883.00       0.00405
     887.00       0.00645
     890.00       0.00926
     893.80       0.01422
     896.00       0.01752
     896.60       0.01866
     897.70       0.02160
     899.30       0.02481
     902.00       0.03705
     902.50       0.03967
     902.80       0.04125
     904.60       0.05460
     906.10       0.06468
     906.80       0.06789
     908.00       0.07660
     908.80       0.08516
     911.20       0.11400
     911.80       0.12040
     912.40       0.12588
     914.30       0.14106
     914.90       0.14716
     916.00       0.14755
     916.20       0.15045
     916.70       0.15779
     917.00       0.16227
     917.80       0.16171
     917.90       0.16161
     918.50       0.17203
     919.60       0.19336
     919.70       0.19512
     920.70       0.21594
     922.10       0.24315
     922.40       0.24993
     923.10       0.26488
     923.20       0.26619
     923.40       0.26879
     923.50       0.27009
     924.00       0.27650
     924.70       0.28280
     927.00       0.30500
     927.60       0.29754
     927.90       0.29368
     928.00       0.29237
     929.10       0.29480
     929.20       0.29401
     929.60       0.29070
     930.20       0.28505
     931.00       0.27586
     931.60       0.26016
     932.00       0.24887
     933.00       0.25332
     933.60       0.23797
     933.90       0.22980
     934.00       0.22701
     935.00       0.26063
     935.10       0.26156
     935.40       0.26434
     935.90       0.26898
     937.00       0.27233
     937.10       0.27459
     937.40       0.28138
     937.90       0.29277
     938.00       0.29505
     938.90       0.33781
     939.00       0.34256
     939.90       0.37273
     940.00       0.37605
     941.00       0.34835
     941.10       0.34908
     941.50       0.35201
     941.90       0.35492
     942.00       0.35564
     943.00       0.29498
     943.10       0.29524
     943.20       0.29549
     943.70       0.29674
     944.00       0.29749
     944.40       0.30628
     944.70       0.31287
     945.00       0.31945
     945.60       0.31001
     946.00       0.30374
     946.60       0.32052
     946.90       0.32888
     947.00       0.33166
     948.00       0.29961
     948.10       0.30470
     948.40       0.31990
     949.00       0.35006
     949.30       0.33334
     949.40       0.32778
     949.50       0.32224
     950.00       0.29464
     950.40       0.31792
     950.50       0.32371
     950.70       0.33523
     951.00       0.35240
     951.70       0.31629
     951.80       0.31118
     952.00       0.30099
     952.80       0.30774
     954.00       0.32379
     954.10       0.32320
     954.40       0.32142
     954.90       0.31848
     956.00       0.30383
     956.10       0.30423
     957.00       0.30780
     957.30       0.31553
     957.40       0.31811
     958.00       0.33345
     958.60       0.31899
     958.70       0.31659
     959.00       0.30940
     960.00       0.31263
     960.50       0.32174
     960.70       0.32536
     960.80       0.32717
     961.00       0.33077
     962.00       0.32818
     962.50       0.32506
     962.80       0.32319
     962.90       0.32257
     964.20       0.32667
     965.00       0.32801
     965.50       0.32688
     965.80       0.32620
     966.00       0.32574
     967.00       0.31445
     967.10       0.31731
     967.30       0.32300
     967.40       0.32583
     967.50       0.32865
     967.60       0.33146
     968.00       0.34260
     969.10       0.33513
     969.40       0.33398
     969.60       0.33322
     970.40       0.33106
     971.00       0.33009
     971.90       0.32276
     972.50       0.31748
     974.20       0.30398
     975.10       0.29595
     976.00       0.29293
     977.00       0.30120
     977.90       0.29821
     979.40       0.29034
     979.90       0.28847
     981.00       0.29352
     981.30       0.29238
     982.50       0.28632
     983.00       0.28295
     983.60       0.28428
     983.90       0.28492
     985.10       0.27731
     985.20       0.27733
     985.60       0.27739
     986.00       0.27742
     987.00       0.27262
     988.40       0.26655
     991.40       0.25282
     993.60       0.24197
     999.30       0.21270
    1000.10       0.20881
    1001.00       0.20497
    1001.30       0.20336
    1001.50       0.20229
    1003.80       0.19264
    1007.10       0.17845
    1007.60       0.17611
    1009.40       0.16745
    1017.00       0.13530
    1019.90       0.12351
    1028.00       0.09367
    1030.00       0.08661
    1033.00       0.07721
    1036.00       0.06855
    1040.00       0.05763
    1046.00       0.04346
    1050.00       0.03457
    1055.00       0.02567
    1060.00       0.01793
    1065.00       0.01244
    1070.00       0.00845
    1080.00       0.00386
    1082.10       0.00320
    1090.00       0.00108
    1095.00       0.00047
    1101.00       0.00000
