# LSST z-band total throughput at airmass 1.2
# File taken from https://dev.lsstcorp.org/cgit/LSST/sims/throughputs.git/snapshot/throughputs-1.2.tar.gz
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     300.00       0.00000
     313.60       0.00000
     315.00       0.00001
     340.10       0.00001
     353.00       0.00000
     360.60       0.00044
     362.90       0.00009
     365.00       0.00003
     397.60       0.00001
     399.10       0.00001
     418.00       0.00002
     487.00       0.00002
     507.00       0.00004
     508.10       0.00006
     509.00       0.00011
     509.20       0.00014
     510.80       0.00009
     514.60       0.00015
     515.10       0.00030
     515.70       0.00080
     519.80       0.00002
     529.00       0.00001
     530.80       0.00002
     557.00       0.00001
     568.40       0.00002
     574.20       0.00001
     576.60       0.00001
     579.60       0.00060
     579.90       0.00022
     591.60       0.00019
     596.00       0.00007
     597.20       0.00012
     597.60       0.00015
     611.00       0.00006
     639.20       0.00001
     644.80       0.00001
     647.20       0.00166
     648.00       0.00004
     648.40       0.00061
     650.50       0.00002
     653.00       0.00001
     659.90       0.00004
     662.00       0.00000
     760.00       0.00003
     770.80       0.00036
     778.00       0.00090
     785.00       0.00240
     789.00       0.00513
     793.00       0.00911
     794.60       0.01132
     796.00       0.01391
     798.00       0.02119
     799.80       0.03473
     800.40       0.04153
     800.90       0.04777
     803.20       0.08224
     804.00       0.09202
     804.60       0.09694
     807.00       0.11331
     808.00       0.12272
     811.00       0.15831
     813.00       0.17442
     814.00       0.17927
     816.00       0.19466
     817.40       0.22088
     817.80       0.22827
     817.90       0.23010
     818.00       0.23191
     818.70       0.25610
     820.10       0.30092
     820.30       0.30904
     821.00       0.33823
     821.20       0.34147
     821.30       0.34309
     821.40       0.34470
     821.60       0.34789
     822.10       0.35212
     823.00       0.33198
     823.70       0.35800
     824.30       0.37430
     824.70       0.38096
     824.90       0.38431
     826.20       0.39343
     827.00       0.40745
     827.20       0.40715
     827.70       0.40619
     828.00       0.40547
     828.80       0.42173
     831.00       0.47351
     831.30       0.47625
     831.70       0.47983
     832.00       0.48248
     833.10       0.50461
     833.60       0.50834
     834.30       0.51414
     834.90       0.51980
     837.00       0.52297
     840.10       0.52497
     842.70       0.52589
     844.40       0.52564
     850.30       0.52312
     851.30       0.52352
     853.00       0.52533
     854.80       0.52627
     858.80       0.53003
     860.70       0.53137
     867.60       0.53275
     868.50       0.53322
     873.30       0.53637
     875.00       0.53646
     878.90       0.53457
     880.30       0.53400
     885.40       0.53413
     889.40       0.53366
     889.90       0.53309
     891.00       0.53255
     891.80       0.53100
     893.60       0.52444
     894.10       0.52241
     894.80       0.51453
     897.00       0.48138
     897.10       0.48201
     898.00       0.48764
     899.00       0.43670
     899.70       0.45347
     899.80       0.45584
     899.90       0.45821
     900.00       0.46057
     900.80       0.45298
     902.80       0.44482
     903.10       0.44591
     903.30       0.44994
     904.00       0.46373
     905.60       0.44319
     905.90       0.43986
     907.10       0.40476
     907.20       0.40325
     908.00       0.39120
     909.90       0.38053
     910.70       0.37557
     911.40       0.36910
     913.40       0.34412
     914.00       0.33754
     914.70       0.33731
     914.90       0.33720
     916.00       0.31405
     916.10       0.31485
     916.30       0.31641
     916.50       0.31792
     917.00       0.32148
     917.30       0.31296
     917.60       0.30455
     917.90       0.29626
     918.00       0.29353
     919.10       0.29770
     919.40       0.29446
     920.30       0.28454
     921.00       0.27656
     921.50       0.26677
     921.90       0.25903
     923.30       0.23798
     924.40       0.21821
     924.90       0.20975
     927.10       0.17950
     927.40       0.17190
     927.80       0.16205
     928.80       0.14496
     928.90       0.14345
     929.60       0.12973
     932.10       0.07960
     932.20       0.07865
     932.30       0.07770
     933.10       0.06956
     934.00       0.05552
     934.60       0.05575
     934.90       0.05572
     937.30       0.04490
     938.20       0.04431
     939.70       0.04564
     939.90       0.04552
     940.70       0.04026
     942.40       0.03151
     943.30       0.02562
     943.50       0.02513
     944.00       0.02392
     944.60       0.02347
     947.40       0.01799
     947.70       0.01693
     948.60       0.01655
     950.10       0.01308
     950.50       0.01360
     951.30       0.01316
     951.50       0.01254
     952.10       0.01098
     953.20       0.01032
     959.00       0.00613
     966.10       0.00372
     975.00       0.00187
     983.00       0.00112
     994.50       0.00054
    1008.00       0.00024
    1025.30       0.00009
    1051.00       0.00002
    1101.00       0.00000
