# HST CALSPEC model spectrum of Alpha Lyra (Vega)
# File taken from http://www.stsci.edu/hst/observatory/crds/calspec.html
# Filename: alpha_lyr_mod_001.fits
# Clipped on the red side at 2200 nm
# Units converted to nm and erg/s/cm^2/nm.
#
# Wavelength(nm)  Flux(erg/s/cm^2/nm)
      89.945099    3.983435e-15
      90.035303    5.422057e-15
      90.125500    5.755306e-15
      90.215900    5.892864e-15
      90.306299    6.019777e-15
      90.396899    6.148328e-15
      90.487500    6.289161e-15
      90.578198    6.433268e-15
      90.669000    6.576557e-15
      90.759900    6.722302e-15
      90.850897    6.870504e-15
      90.941998    7.022800e-15
      91.033099    7.177552e-15
      91.124402    7.337217e-15
      91.215698    7.510802e-15
      91.307202    7.726144e-15
      91.398700    8.028280e-15
      91.490399    1.090634e-14
      91.582098    3.068023e-14
      91.673901    7.622157e-14
      91.765802    1.227373e-13
      91.857800    1.602381e-13
      91.949902    1.987214e-13
      92.041998    2.291806e-13
      92.134302    2.661082e-13
      92.226703    2.995150e-13
      92.319098    3.027083e-13
      92.411700    4.320778e-13
      92.504303    4.636833e-13
      92.597101    3.546199e-13
      92.689899    4.512376e-13
      92.782800    6.809914e-13
      92.875800    7.305284e-13
      92.968903    5.540782e-13
      93.062097    3.807394e-13
      93.155402    5.205895e-13
      93.248798    8.090508e-13
      93.342297    9.956542e-13
      93.435901    1.052970e-12
      93.529602    9.899225e-13
      93.623297    7.871890e-13
      93.717200    5.051143e-13
      93.811102    4.563142e-13
      93.905200    7.478049e-13
      93.999298    1.046419e-12
      94.093500    1.215910e-12
      94.187903    1.307615e-12
      94.282300    1.355924e-12
      94.376801    1.368206e-12
      94.471399    1.298608e-12
      94.566101    1.224098e-12
      94.660901    1.236380e-12
      94.755798    1.149587e-12
      94.850800    8.589153e-13
      94.945898    5.530956e-13
      95.041101    6.748504e-13
      95.136401    1.085721e-12
      95.231799    1.364930e-12
      95.327197    1.499213e-12
      95.422803    1.618757e-12
      95.518500    1.708005e-12
      95.614203    1.794797e-12
      95.710101    1.938086e-12
      95.806000    1.999496e-12
      95.902100    2.010959e-12
      95.998199    2.005228e-12
      96.094397    2.033885e-12
      96.190802    2.078919e-12
      96.287201    2.075644e-12
      96.383698    1.999496e-12
      96.480402    1.979026e-12
      96.577100    2.108396e-12
      96.673901    2.214020e-12
      96.770801    2.218933e-12
      96.867798    2.146060e-12
      96.964899    1.957738e-12
      97.062097    1.581092e-12
      97.159399    1.022674e-12
      97.256799    7.295460e-13
      97.354303    1.125024e-12
      97.452002    1.748945e-12
      97.549597    2.192732e-12
      97.647400    2.460477e-12
      97.745300    2.592303e-12
      97.843298    2.651256e-12
      97.941400    2.731499e-12
      98.039600    2.811740e-12
      98.137903    2.854318e-12
      98.236298    2.908358e-12
      98.334698    2.977137e-12
      98.433301    2.990237e-12
      98.532001    3.020533e-12
      98.630798    3.104869e-12
      98.729700    3.066385e-12
      98.828601    2.878063e-12
      98.927698    2.738049e-12
      99.026898    2.734773e-12
      99.126202    2.934559e-12
      99.225500    3.112238e-12
      99.325000    3.240788e-12
      99.424597    3.266171e-12
      99.524298    3.323487e-12
      99.623999    3.472507e-12
      99.723901    3.556843e-12
      99.823901    3.632991e-12
      99.923999    3.704226e-12
     100.024103    3.777918e-12
     100.124402    3.796750e-12
     100.224799    3.815582e-12
     100.325299    3.982616e-12
     100.425800    4.091516e-12
     100.526501    4.114442e-12
     100.627301    4.125087e-12
     100.728198    4.160295e-12
     100.829102    4.224161e-12
     100.930200    4.268376e-12
     101.031403    4.337154e-12
     101.132703    4.415759e-12
     101.234100    4.456698e-12
     101.335602    4.511558e-12
     101.437097    4.544310e-12
     101.538800    4.575424e-12
     101.640601    4.640927e-12
     101.742499    4.631920e-12
     101.844501    4.521383e-12
     101.946600    4.354349e-12
     102.048798    4.113623e-12
     102.151099    3.806576e-12
     102.253497    3.354601e-12
     102.356000    2.712666e-12
     102.458704    1.889778e-12
     102.561401    1.321534e-12
     102.664197    1.983120e-12
     102.767102    3.281728e-12
     102.870105    4.334698e-12
     102.973303    5.012660e-12
     103.076501    5.345090e-12
     103.179797    5.603010e-12
     103.283301    5.884676e-12
     103.386804    6.075455e-12
     103.490503    6.111482e-12
     103.594202    5.846192e-12
     103.697998    5.754488e-12
     103.802002    6.272784e-12
     103.906104    6.686276e-12
     104.010205    6.856585e-12
     104.114502    6.975311e-12
     104.218896    7.025257e-12
     104.323401    7.005605e-12
     104.428003    7.089122e-12
     104.532605    7.262707e-12
     104.637402    7.433835e-12
     104.742297    7.509983e-12
     104.847302    7.560748e-12
     104.952405    7.731876e-12
     105.057703    7.823581e-12
     105.163000    7.874347e-12
     105.268396    7.944762e-12
     105.373901    8.107703e-12
     105.479602    8.327140e-12
     105.585303    8.531838e-12
     105.691199    8.711973e-12
     105.797095    8.842980e-12
     105.903198    8.883920e-12
     106.009399    8.941235e-12
     106.115601    9.121370e-12
     106.221997    9.178685e-12
     106.328503    9.170499e-12
     106.435095    9.350633e-12
     106.541797    9.350633e-12
     106.648596    9.211437e-12
     106.755505    9.350633e-12
     106.862500    9.604459e-12
     106.969702    9.972917e-12
     107.076904    1.025131e-11
     107.184302    1.041507e-11
     107.291699    1.051332e-11
     107.399304    1.067708e-11
     107.506897    1.087359e-11
     107.614697    1.107010e-11
     107.722595    1.130755e-11
     107.830603    1.150406e-11
     107.938696    1.169238e-11
     108.046899    1.188890e-11
     108.155200    1.201171e-11
     108.263599    1.206084e-11
     108.372205    1.191346e-11
     108.480798    1.180702e-11
     108.589600    1.220004e-11
     108.698401    1.280595e-11
     108.807397    1.310071e-11
     108.916504    1.325628e-11
     109.025696    1.330541e-11
     109.134998    1.341185e-11
     109.244397    1.368206e-11
     109.353894    1.393588e-11
     109.463501    1.390313e-11
     109.573303    1.351830e-11
     109.683105    1.310890e-11
     109.793103    1.332997e-11
     109.903101    1.394407e-11
     110.013306    1.444354e-11
     110.123596    1.486931e-11
     110.233997    1.554891e-11
     110.344495    1.667884e-11
     110.455103    1.791522e-11
     110.565796    1.950368e-11
     110.676697    2.191913e-11
     110.787598    2.597216e-11
     110.898706    3.437299e-11
     111.009900    5.575990e-11
     111.121204    8.736538e-11
     111.232605    1.283870e-10
     111.344104    1.555709e-10
     111.455701    1.768596e-10
     111.567395    2.960761e-10
     111.679297    3.086037e-10
     111.791199    2.672545e-10
     111.903296    3.959690e-10
     112.015503    4.377275e-10
     112.127795    2.997607e-10
