# psf.beta  psf.fwhm  psf.e1  psf.e2  psf.trunc  disk.hlr  disk.e1  disk.e2  bulge.hlr  bulge.e1  bulge.e2  gal.shift.dx  gal.shift.dy 
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2334215      -0.2308380   4.53       0.2334215      -0.2308380      -0.9337012      -0.0799210
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0063574      -0.3103077   4.53       0.0063574      -0.3103077       0.4454978       0.6717476
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2754912       0.1293501   4.53      -0.2754912       0.1293501      -0.4471331      -0.5470855
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0620794       0.4414688   4.53      -0.0620794       0.4414688       0.6897429      -0.3212291
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.5161514       0.2752183   4.53       0.5161514       0.2752183       0.4252769      -0.4177154
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2995180      -0.0631049   4.53       0.2995180      -0.0631049       0.5189732      -0.8129660
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2672521      -0.1725368   4.53      -0.2672521      -0.1725368       0.1875119      -0.1691712
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0699731       0.1872317   4.53      -0.0699731       0.1872317       0.5631146       0.2261235
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.6129700      -0.0792196   4.53      -0.6129700      -0.0792196      -0.6845198      -0.3372417
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1354758      -0.4039598   4.53      -0.1354758      -0.4039598      -0.0969991       0.0744448
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1967319      -0.2882099   4.53       0.1967319      -0.2882099      -0.1011218       0.0635848
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1745956       0.0904276   4.53      -0.1745956       0.0904276       0.1693121       0.4065470
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1235351      -0.0482689   4.53       0.1235351      -0.0482689       0.3675096      -0.4643987
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1833788      -0.1353664   4.53      -0.1833788      -0.1353664       0.8452110       0.1671601
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3265995       0.4901190   4.53      -0.3265995       0.4901190       0.4693953      -0.1130161
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2009544       0.2258778   4.53       0.2009544       0.2258778      -0.4711777       0.3455667
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.3532858       0.2828903   4.53       0.3532858       0.2828903       0.1259557       0.8595481
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1067721       0.4214620   4.53       0.1067721       0.4214620       0.8044262       0.4966478
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0587001       0.6045421   4.53      -0.0587001       0.6045421      -0.8062363       0.5619479
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1336068       0.3587499   4.53       0.1336068       0.3587499      -0.0640212       0.0726942
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2680680      -0.7962068   4.53       0.2680680      -0.7962068       0.2298901      -0.7650577
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0303008       0.2725825   4.53       0.0303008       0.2725825      -0.2930005       0.8856588
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1576450      -0.2723530   4.53       0.1576450      -0.2723530       0.2392390       0.4791226
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2717754      -0.1619716   4.53      -0.2717754      -0.1619716       0.7800941       0.2554729
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3096586       0.0862310   4.53      -0.3096586       0.0862310       0.9021382      -0.3235673
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.5280889      -0.2601912   4.53      -0.5280889      -0.2601912       0.9256430      -0.0436443
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0662926      -0.0515979   4.53       0.0662926      -0.0515979      -0.6547926      -0.4475681
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2626825      -0.4066665   4.53      -0.2626825      -0.4066665       0.0917594      -0.3415747
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.4428499       0.1870754   4.53       0.4428499       0.1870754      -0.4260909      -0.0799181
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.6456156      -0.5386618   4.53       0.6456156      -0.5386618      -0.7659359      -0.5685177
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0283484      -0.0134187   4.53       0.0283484      -0.0134187       0.2217742       0.5892790
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.3904182       0.1337053   4.53       0.3904182       0.1337053      -0.1972481      -0.1503750
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1208001       0.3867261   4.53       0.1208001       0.3867261      -0.2048988      -0.5511711
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2121277      -0.0160468   4.53      -0.2121277      -0.0160468       0.4500320      -0.8872259
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1455238       0.1531904   4.53       0.1455238       0.1531904       0.4527013      -0.2798630
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2965538      -0.0868980   4.53       0.2965538      -0.0868980      -0.3766195       0.5253817
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2417181      -0.3727859   4.53       0.2417181      -0.3727859      -0.4233337       0.8365211
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0496912       0.9176201   4.53      -0.0496912       0.9176201      -0.4365373      -0.1771349
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1713232       0.3366759   4.53      -0.1713232       0.3366759      -0.6978571       0.4995244
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.5496301      -0.2226423   4.53      -0.5496301      -0.2226423      -0.0788821       0.1126435
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0902324      -0.2804759   4.53      -0.0902324      -0.2804759       0.3204108       0.2734113
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0151649      -0.2383042   4.53       0.0151649      -0.2383042      -0.2609113       0.3128842
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0767583      -0.1574548   4.53       0.0767583      -0.1574548       0.0405139       0.2192988
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3342307      -0.0768606   4.53      -0.3342307      -0.0768606      -0.7158673      -0.3357328
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1476833      -0.0035002   4.53      -0.1476833      -0.0035002       0.8470118       0.0536556
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.3716294       0.6290016   4.53       0.3716294       0.6290016       0.8519829       0.5022470
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0433650      -0.4375141   4.53      -0.0433650      -0.4375141      -0.2146982      -0.0189071
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.4728844       0.1058284   4.53      -0.4728844       0.1058284      -0.8441166      -0.2713482
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.4731724      -0.0049042   4.53      -0.4731724      -0.0049042      -0.7936353      -0.0694142
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.5580140       0.6853509   4.53       0.5580140       0.6853509       0.7117627       0.2696575
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1710029       0.2031501   4.53      -0.1710029       0.2031501      -0.4309438       0.4837645
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1731232      -0.6325437   4.53      -0.1731232      -0.6325437      -0.9107469       0.0754117
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0689513       0.0774578   4.53      -0.0689513       0.0774578       0.0299094       0.5549422
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2494017      -0.4553575   4.53       0.2494017      -0.4553575      -0.4196468      -0.3440990
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1680616      -0.0453100   4.53      -0.1680616      -0.0453100       0.4628539      -0.3394593
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1287136       0.3623227   4.53      -0.1287136       0.3623227       0.2576943       0.9224593
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0562492       0.0588859   4.53      -0.0562492       0.0588859       0.3512602       0.5693355
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0084996      -0.6175825   4.53       0.0084996      -0.6175825      -0.6857278      -0.2304333
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.5932431       0.3427267   4.53       0.5932431       0.3427267      -0.3327375      -0.4986699
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0264706      -0.2733097   4.53      -0.0264706      -0.2733097       0.3747815       0.0587426
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0076939      -0.0034908   4.53      -0.0076939      -0.0034908      -0.4190530       0.8473710
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0227215      -0.0502509   4.53       0.0227215      -0.0502509      -0.6553779      -0.4770982
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2283070       0.1603096   4.53       0.2283070       0.1603096       0.2021437       0.3159178
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1898546      -0.3211785   4.53       0.1898546      -0.3211785       0.1336947       0.7402815
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0995827      -0.2089342   4.53       0.0995827      -0.2089342      -0.3574002       0.5152572
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2784740      -0.8755086   4.53       0.2784740      -0.8755086      -0.8024389      -0.1344428
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3878517      -0.0362217   4.53      -0.3878517      -0.0362217      -0.5853787       0.2339420
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3393430      -0.2916896   4.53      -0.3393430      -0.2916896       0.0158570       0.6432902
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.5654427      -0.4553642   4.53       0.5654427      -0.4553642       0.1309119      -0.6267895
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1240165      -0.0933106   4.53       0.1240165      -0.0933106      -0.6375957       0.6693165
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0461218       0.1929856   4.53      -0.0461218       0.1929856      -0.2643472       0.6653017
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1335547       0.3249355   4.53       0.1335547       0.3249355      -0.2133546      -0.2350148
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0948534      -0.4557838   4.53       0.0948534      -0.4557838      -0.8277814      -0.3482745
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.4536117      -0.1495447   4.53       0.4536117      -0.1495447       0.6882218      -0.0145523
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2033814       0.3384005   4.53      -0.2033814       0.3384005       0.6315186      -0.5117998
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1266127      -0.1139747   4.53       0.1266127      -0.1139747      -0.3491244       0.4324544
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0655681      -0.3861374   4.53      -0.0655681      -0.3861374      -0.1091232      -0.1280904
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.8466475       0.1162189   4.53      -0.8466475       0.1162189      -0.1271766       0.1352909
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.3683186      -0.6692789   4.53       0.3683186      -0.6692789      -0.0443094      -0.5310056
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0689982      -0.0588511   4.53       0.0689982      -0.0588511      -0.0873654       0.5561341
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.3489838      -0.3205157   4.53       0.3489838      -0.3205157      -0.4292270      -0.0747314
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1887035      -0.3453474   4.53       0.1887035      -0.3453474      -0.5768148       0.3508610
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3365220      -0.8008392   4.53      -0.3365220      -0.8008392       0.5173110       0.2468813
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1229677      -0.9085440   4.53      -0.1229677      -0.9085440      -0.4418129      -0.4903695
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.4427512      -0.1846132   4.53      -0.4427512      -0.1846132       0.4018215       0.0234869
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.3000273       0.0723104   4.53      -0.3000273       0.0723104      -0.7223398       0.1073397
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.1540595       0.7192408   4.53      -0.1540595       0.7192408       0.3288978       0.7514302
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1864279      -0.4356764   4.53       0.1864279      -0.4356764       0.2179995       0.3854838
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0118964       0.4547259   4.53      -0.0118964       0.4547259      -0.0547823       0.0333079
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2196968       0.0224285   4.53       0.2196968       0.0224285       0.3813967      -0.4656398
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2154673      -0.2424736   4.53       0.2154673      -0.2424736      -0.2600508      -0.5903450
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.4217382       0.1468687   4.53       0.4217382       0.1468687       0.3950926       0.6775641
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.5927925       0.0815510   4.53       0.5927925       0.0815510      -0.1009165       0.1402556
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1644590       0.1707494   4.53       0.1644590       0.1707494       0.1704654      -0.3187676
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.2704394      -0.3101062   4.53       0.2704394      -0.3101062       0.6589012       0.6166850
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.0916412       0.0463033   4.53       0.0916412       0.0463033      -0.5840783      -0.4233275
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.6387499      -0.0241677   4.53       0.6387499      -0.0241677       0.1036811       0.1980371
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.2553929       0.3583743   4.53      -0.2553929       0.3583743       0.2107799       0.6556399
   3.50    2.85   -0.019   -0.007    5.70    2.34      -0.0286902      -0.1693346   4.53      -0.0286902      -0.1693346       0.6059711      -0.7286776
   3.50    2.85   -0.019   -0.007    5.70    2.34       0.1399754       0.0095612   4.53       0.1399754       0.0095612      -0.5379062      -0.6120508
