pupil.n,pupil.m,field.n,field.m,coefficient
2,0,2,0,0.23113484
2,2,4,2,-0.09443532
2,0,0,0,-0.13235281
4,0,2,0,-0.12582651
3,3,3,3,0.06807902
3,1,1,1,-0.06762354
6,0,0,0,0.07907768
5,1,1,1,0.05214373
8,0,0,0,-0.06537855
3,1,3,1,0.03813519
7,1,1,1,-0.03655939
2,0,4,0,-0.04600754
9,1,1,1,0.01643176
4,2,2,2,0.01588653
4,0,0,0,0.02015844
5,3,3,3,-0.01424397
10,0,0,0,0.0199
5,1,3,1,-0.01179766
2,2,2,2,0.01105129
4,2,4,2,-0.00876696
6,2,2,2,0.0071078
8,2,2,2,0.00689156
4,0,4,0,-0.00893325
8,0,2,0,0.00646739
3,3,5,3,0.00306412
3,1,5,1,0.00261086
6,0,2,0,0.00306868
4,4,4,4,-0.00180046
2,2,6,2,0.00152473
2,0,6,0,0.00186951
6,2,4,2,-0.00087366
6,0,4,0,-0.00092896
6,4,4,4,-0.0006038
7,3,3,3,0.00053357
5,5,5,5,-0.00046766
5,3,5,3,-0.00032172
5,1,5,1,-0.00022981
1,1,3,1,-0.0001505
4,4,6,4,-0.0001441
4,2,6,2,-9.47E-05
8,2,4,2,-6.98E-05
8,0,4,0,-7.73E-05
4,0,6,0,-6.79E-05
9,1,3,1,-4.47E-05
8,4,4,4,-4.31E-05
1,1,5,1,3.15E-05
7,1,3,1,2.70E-05
4,0,4,4,-2.54E-05
2,2,6,6,-2.41E-05
9,3,3,3,2.29E-05
7,3,5,3,-2.15E-05
7,1,5,1,-2.04E-05
2,0,4,4,2.03E-05
7,5,5,5,-1.67E-05
3,3,1,1,1.21E-05
3,1,5,5,8.30E-06
2,0,6,4,-7.50E-06
3,3,3,1,7.28E-06
6,6,6,6,5.60E-06
3,1,3,3,5.52E-06
3,1,5,3,3.67E-06
6,4,6,4,2.88E-06
5,3,1,1,-2.43E-06
4,2,6,6,-2.35E-06
5,1,5,5,-2.34E-06
7,1,3,3,-2.01E-06
6,2,6,2,1.93E-06
9,1,5,1,-1.87E-06
3,3,5,1,1.82E-06
9,3,5,3,-1.80E-06
4,0,6,4,-1.69E-06
1,1,1,1,-1.66E-06
6,0,6,0,2.12E-06
5,3,3,1,-1.42E-06
9,5,5,5,-1.29E-06
8,0,4,4,1.07E-06
5,1,5,3,-9.60E-07
9,1,3,3,8.90E-07
4,4,2,0,-5.30E-07
4,4,0,0,-4.80E-07
5,3,5,1,-3.20E-07
4,4,4,0,-2.60E-07
6,2,6,6,-2.30E-07
5,1,3,3,2.20E-07
6,0,6,4,-1.70E-07
6,4,0,0,-1.50E-07
6,4,2,0,-1.50E-07
8,2,6,2,1.50E-07
8,0,6,0,1.90E-07
5,5,1,1,-1.20E-07
6,0,4,4,1.20E-07
5,5,3,1,-9.00E-08
7,3,1,1,8.00E-08
8,4,6,4,8.00E-08
4,4,6,0,-6.00E-08
6,4,4,0,-6.00E-08
8,6,6,6,-5.00E-08
7,3,3,1,4.00E-08
5,5,5,1,-3.00E-08
1,1,3,3,-2.00E-08
1,1,5,5,-2.00E-08
8,2,6,6,-2.00E-08
6,4,6,0,-1.00E-08
7,3,5,1,1.00E-08
8,0,6,4,-1.00E-08
8,4,0,0,-1.00E-08
8,4,2,0,-1.00E-08
9,1,5,5,-1.00E-08
1,1,5,3,0
2,0,2,2,0
2,0,4,2,0
2,0,6,2,0
2,0,6,6,0
2,2,0,0,0
2,2,2,0,0
2,2,4,0,0
2,2,4,4,0
2,2,6,0,0
2,2,6,4,0
3,3,5,5,0
4,0,2,2,0
4,0,4,2,0
4,0,6,2,0
4,0,6,6,0
4,2,0,0,0
4,2,2,0,0
4,2,4,0,0
4,2,4,4,0
4,2,6,0,0
4,2,6,4,0
4,4,2,2,0
4,4,4,2,0
4,4,6,2,0
4,4,6,6,0
5,3,5,5,0
5,5,3,3,0
5,5,5,3,0
6,0,2,2,0
6,0,4,2,0
6,0,6,2,0
6,0,6,6,0
6,2,0,0,0
6,2,2,0,0
6,2,4,0,0
6,2,4,4,0
6,2,6,0,0
6,2,6,4,0
6,4,2,2,0
6,4,4,2,0
6,4,6,2,0
6,4,6,6,0
6,6,0,0,0
6,6,2,0,0
6,6,2,2,0
6,6,4,0,0
6,6,4,2,0
6,6,4,4,0
6,6,6,0,0
6,6,6,2,0
6,6,6,4,0
7,1,5,3,0
7,1,5,5,0
7,3,5,5,0
7,5,1,1,0
7,5,3,1,0
7,5,3,3,0
7,5,5,1,0
7,5,5,3,0
7,7,1,1,0
7,7,3,1,0
7,7,3,3,0
7,7,5,1,0
7,7,5,3,0
7,7,5,5,0
8,0,2,2,0
8,0,4,2,0
8,0,6,2,0
8,0,6,6,0
8,2,0,0,0
8,2,2,0,0
8,2,4,0,0
8,2,4,4,0
8,2,6,0,0
8,2,6,4,0
8,4,2,2,0
8,4,4,0,0
8,4,4,2,0
8,4,6,0,0
8,4,6,2,0
8,4,6,6,0
8,6,0,0,0
8,6,2,0,0
8,6,2,2,0
8,6,4,0,0
8,6,4,2,0
8,6,4,4,0
8,6,6,0,0
8,6,6,2,0
8,6,6,4,0
8,8,0,0,0
8,8,2,0,0
8,8,2,2,0
8,8,4,0,0
8,8,4,2,0
8,8,4,4,0
8,8,6,0,0
8,8,6,2,0
8,8,6,4,0
8,8,6,6,0
9,1,5,3,0
9,3,1,1,0
9,3,3,1,0
9,3,5,1,0
9,3,5,5,0
9,5,1,1,0
9,5,3,1,0
9,5,3,3,0
9,5,5,1,0
9,5,5,3,0
9,7,1,1,0
9,7,3,1,0
9,7,3,3,0
9,7,5,1,0
9,7,5,3,0
9,7,5,5,0
9,9,1,1,0
9,9,3,1,0
9,9,3,3,0
9,9,5,1,0
9,9,5,3,0
9,9,5,5,0
