   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     0.300    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.305    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.310    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.315    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.320    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.325    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.330    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.335    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.340    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.345    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.350    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.355    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.360    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.365    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.370    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.375    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.380    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.385    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.390    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.395    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.400    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.405    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.410    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.415    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.420    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.425    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.430    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.435    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.440    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.445    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.450    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.455    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.460    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.465    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.470    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.475    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.480    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.485    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.490    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.495    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.500    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.505    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.510    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
     0.515    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
