# ACS wfc_F555W total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F555W.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     348.00       0.00000
     442.10       0.00003
     448.00       0.00010
     452.70       0.00058
     456.00       0.00142
     459.00       0.00533
     461.00       0.00946
     463.00       0.01642
     465.00       0.02750
     466.00       0.03514
     467.40       0.04795
     468.70       0.06188
     469.60       0.07492
     469.80       0.07811
     474.30       0.13946
     474.90       0.14796
     475.20       0.15249
     475.40       0.15561
     476.70       0.17407
     480.10       0.22565
     480.30       0.22810
     482.10       0.25229
     483.40       0.26827
     483.80       0.27309
     486.10       0.29570
     489.20       0.31262
     491.80       0.32223
     494.10       0.32847
     494.40       0.32775
     494.60       0.32727
     494.80       0.32678
     495.60       0.33234
     495.90       0.33537
     497.30       0.34154
     498.20       0.34793
     498.30       0.34798
     498.70       0.34818
     498.90       0.34829
     501.30       0.35899
     502.10       0.36103
     502.80       0.36123
     504.30       0.36438
     505.30       0.36422
     506.00       0.36707
     506.60       0.36386
     506.90       0.36225
     508.20       0.36265
     509.10       0.35871
     510.70       0.35612
     515.00       0.35295
     515.70       0.35327
     517.30       0.35710
     517.60       0.35819
     519.30       0.35994
     520.30       0.36247
     521.00       0.36245
     521.70       0.36479
     523.80       0.36810
     526.10       0.36620
     526.80       0.36688
     527.00       0.36707
     528.40       0.36351
     528.50       0.36296
     528.70       0.36187
     529.60       0.36117
     529.70       0.36133
     530.70       0.35871
     532.40       0.35610
     533.20       0.35405
     533.50       0.35457
     535.40       0.35300
     537.00       0.35270
     537.30       0.35399
     537.80       0.35613
     540.00       0.35962
     542.00       0.36216
     542.70       0.36485
     543.70       0.36762
     544.00       0.36831
     545.30       0.36919
     545.60       0.36882
     547.50       0.37178
     549.20       0.37296
     549.40       0.37388
     549.70       0.37525
     549.90       0.37616
     551.40       0.37125
     552.40       0.36981
     553.60       0.36777
     554.60       0.36498
     556.10       0.36380
     556.40       0.36198
     557.40       0.35866
     557.60       0.35881
     558.00       0.35911
     559.00       0.35486
     560.00       0.35264
     560.70       0.34886
     560.80       0.34832
     562.60       0.34416
     564.10       0.34531
     564.50       0.34297
     565.00       0.34004
     566.00       0.33494
     567.00       0.33484
     568.20       0.33258
     568.50       0.33048
     569.00       0.32696
     570.20       0.32434
     570.40       0.32410
     571.00       0.32337
     572.00       0.32014
     572.40       0.31650
     572.70       0.31377
     573.00       0.31104
     573.80       0.31219
     575.20       0.30558
     575.70       0.30416
     576.40       0.30133
     576.80       0.29937
     579.20       0.29176
     580.20       0.28924
     580.40       0.28779
     580.60       0.28635
     581.80       0.28174
     582.00       0.28131
     582.60       0.27695
     582.80       0.27550
     585.40       0.26314
     586.20       0.25969
     586.30       0.25901
     586.80       0.25562
     587.40       0.25267
     587.70       0.25148
     588.70       0.24450
     590.50       0.23394
     591.30       0.22846
     591.60       0.22700
     593.10       0.21839
     593.50       0.21743
     594.00       0.21622
     596.50       0.20445
     597.10       0.20297
     600.00       0.19882
     601.60       0.18858
     602.00       0.18622
     603.60       0.16511
     604.00       0.15984
     604.80       0.14457
     607.20       0.09047
     608.00       0.07396
     608.90       0.05752
     610.00       0.04187
     611.00       0.03104
     613.00       0.01743
     615.00       0.00977
     616.00       0.00744
     618.00       0.00446
     624.60       0.00136
     626.90       0.00087
     632.00       0.00029
     648.00       0.00002
     710.90       0.00000
    1050.00       0.00000
