# ACS wfc_F850LP total throughput
# File taken from http://www.stsci.edu/hst/acs/analysis/throughputs/tables/wfc_F850LP.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     400.00       0.00000
     731.40       0.00000
     772.00       0.00002
     784.00       0.00013
     792.00       0.00049
     796.60       0.00112
     799.70       0.00191
     804.00       0.00514
     807.60       0.00924
     810.00       0.01386
     814.00       0.02497
     816.20       0.03397
     818.00       0.04217
     821.90       0.06422
     824.10       0.07825
     824.70       0.08209
     824.90       0.08337
     829.10       0.11721
     829.30       0.11901
     829.90       0.12437
     831.00       0.13295
     831.40       0.13435
     831.70       0.13539
     831.90       0.13608
     833.20       0.15019
     834.50       0.16007
     836.10       0.16956
     836.50       0.17400
     836.60       0.17511
     836.70       0.17622
     836.80       0.17732
     836.90       0.17843
     837.70       0.18223
     840.10       0.19555
     840.20       0.19648
     840.30       0.19742
     841.00       0.20393
     841.50       0.20566
     842.40       0.20682
     843.00       0.20599
     843.60       0.21284
     843.80       0.21511
     844.00       0.21737
     846.10       0.22091
     846.40       0.22290
     848.00       0.23104
     848.50       0.23290
     850.70       0.23799
     852.50       0.24343
     854.10       0.24610
     856.20       0.24750
     857.00       0.24935
     859.40       0.25052
     859.90       0.25065
     861.10       0.25486
     861.60       0.25342
     861.80       0.25284
     863.30       0.25207
     863.40       0.25155
     863.60       0.25052
     863.70       0.25000
     864.00       0.24845
     864.70       0.25095
     867.10       0.25145
     867.30       0.25111
     868.40       0.25017
     869.00       0.25052
     871.50       0.24873
     872.90       0.24705
     873.40       0.24638
     874.50       0.24610
     874.90       0.24658
     876.40       0.24402
     877.20       0.24370
     877.40       0.24330
     877.50       0.24310
     881.50       0.23825
     882.00       0.23791
     882.60       0.23566
     883.00       0.23418
     885.30       0.23367
     886.00       0.23259
     889.10       0.22833
     889.90       0.22739
     892.20       0.22286
     892.80       0.22260
     894.80       0.22023
     895.30       0.21932
     898.40       0.21466
     898.70       0.21450
     899.20       0.21404
     900.30       0.21243
     904.20       0.20552
     904.50       0.20518
     905.40       0.20387
     906.00       0.20277
     909.30       0.19807
     912.30       0.19347
     916.10       0.18737
     916.20       0.18744
     916.30       0.18751
     917.30       0.18667
     917.90       0.18407
     920.10       0.18095
     920.40       0.18071
     920.60       0.18055
     924.20       0.17486
     924.60       0.17444
     928.00       0.16990
     930.30       0.16662
     932.10       0.16299
     933.30       0.16171
     936.50       0.15683
     938.50       0.15367
     941.50       0.14788
     945.30       0.14072
     945.40       0.14046
     948.20       0.13511
     954.10       0.12230
     954.60       0.12155
     955.50       0.12026
     956.90       0.11824
     961.00       0.11082
     967.60       0.09919
     969.30       0.09603
     978.80       0.08012
     979.40       0.07917
     986.50       0.07084
     988.10       0.06915
     992.60       0.06398
    1000.70       0.05495
    1002.00       0.05369
    1004.10       0.05199
    1005.30       0.05100
    1015.60       0.04177
    1020.10       0.03761
    1020.40       0.03741
    1021.30       0.03683
    1037.00       0.02627
    1040.00       0.02415
    1056.20       0.01578
    1059.90       0.01386
    1074.30       0.00842
    1078.40       0.00687
    1085.80       0.00237
    1088.70       0.00106
    1092.40       0.00000
