# LSST i-band total throughput at airmass 1.2
# File taken from https://raw.githubusercontent.com/lsst/throughputs/master/baseline/total_i.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     675.90       0.00000
     676.00       0.00000
     680.60       0.04091
     680.90       0.04358
     685.60       0.12533
     686.00       0.13176
     686.50       0.13367
     686.80       0.12812
     687.10       0.12375
     687.20       0.12343
     687.30       0.12308
     687.50       0.12226
     688.60       0.15765
     689.30       0.16622
     692.40       0.23547
     693.00       0.24834
     693.20       0.25210
     693.70       0.26113
     696.10       0.30487
     696.60       0.31541
     697.00       0.32412
     699.80       0.37018
     701.60       0.40200
     702.20       0.40873
     704.80       0.43417
     705.40       0.43819
     712.00       0.44228
     715.00       0.44122
     715.80       0.44041
     716.00       0.44008
     717.70       0.41651
     718.60       0.40692
     719.20       0.40367
     720.00       0.40540
     720.60       0.41248
     721.50       0.43279
     722.30       0.43594
     722.50       0.43563
     723.70       0.41643
     724.20       0.41588
     725.80       0.42253
     726.50       0.42424
     728.00       0.41982
     728.30       0.42422
     728.40       0.42568
     729.60       0.42861
     731.50       0.43150
     731.60       0.43221
     731.90       0.43433
     732.60       0.44067
     734.00       0.44407
     735.00       0.44462
     736.00       0.44457
     741.00       0.44958
     749.00       0.45114
     753.30       0.45163
     758.20       0.45113
     758.50       0.45017
     759.00       0.42954
     759.50       0.34603
     759.60       0.32162
     760.00       0.22401
     760.10       0.21103
     760.40       0.17206
     760.50       0.15908
     760.80       0.16324
     760.90       0.16463
     761.00       0.16602
     762.00       0.30069
     762.10       0.29874
     762.30       0.29485
     762.40       0.29290
     763.10       0.25396
     763.40       0.25419
     763.80       0.26672
     764.30       0.28997
     765.50       0.35587
     766.00       0.37673
     767.20       0.41814
     768.00       0.43236
     768.70       0.43837
     770.50       0.44867
     773.50       0.45077
     779.70       0.44996
     783.30       0.44892
     786.30       0.44787
     790.90       0.44315
     791.60       0.44398
     793.60       0.44498
     793.90       0.44577
     795.50       0.44409
     796.20       0.44114
     798.70       0.44326
     801.80       0.44078
     802.60       0.44084
     803.60       0.44130
     806.20       0.42091
     807.40       0.40870
     810.90       0.34483
     812.10       0.32156
     812.30       0.31796
     813.20       0.29775
     816.10       0.23464
     816.40       0.22877
     817.50       0.21387
     817.80       0.20650
     820.10       0.17342
     820.40       0.17107
     820.50       0.17024
     821.00       0.16482
     822.10       0.14252
     822.30       0.13679
     822.90       0.11883
     824.50       0.10289
     825.40       0.08759
     828.20       0.04012
     828.30       0.03936
     828.40       0.03860
     833.00       0.00000
