# LSST r-band total throughput at airmass 1.2
# File taken from https://raw.githubusercontent.com/lsst/throughputs/master/baseline/total_r.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     536.90       0.00000
     540.60       0.02996
     541.80       0.03993
     542.00       0.04160
     558.00       0.31060
     562.60       0.38645
     563.10       0.39186
     566.20       0.41822
     572.60       0.42169
     578.00       0.42661
     581.00       0.42952
     583.30       0.43082
     585.50       0.43200
     586.20       0.43222
     589.50       0.42909
     595.10       0.42684
     595.50       0.42783
     603.70       0.42713
     607.50       0.42842
     613.80       0.43510
     623.00       0.44461
     627.20       0.44410
     627.50       0.44143
     627.70       0.43868
     632.60       0.44681
     633.60       0.44721
     637.60       0.44783
     641.80       0.44911
     643.50       0.44939
     649.00       0.44886
     655.70       0.45011
     656.30       0.45072
     661.00       0.45367
     670.10       0.45330
     676.60       0.45058
     679.40       0.42610
     680.50       0.41371
     685.00       0.33066
     685.90       0.31284
     686.20       0.30115
     687.50       0.21964
     687.80       0.22637
     688.50       0.23741
     689.20       0.22246
     691.90       0.19630
     692.90       0.18315
     695.40       0.14161
     701.20       0.04222
     701.50       0.03958
     706.00       0.00000
