# LSST u-band total throughput at airmass 1.2
# File taken from https://raw.githubusercontent.com/lsst/throughputs/master/baseline/total_u.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     305.30       0.00000
     315.00       0.00036
     318.10       0.00128
     320.00       0.00287
     322.30       0.00658
     322.80       0.00769
     325.30       0.01500
     327.20       0.02346
     327.50       0.02460
     327.80       0.02583
     328.10       0.02725
     329.70       0.03745
     331.20       0.04555
     332.90       0.05607
     333.30       0.05781
     333.80       0.06005
     335.40       0.06928
     335.90       0.07141
     337.50       0.07662
     338.50       0.08125
     339.50       0.08459
     342.30       0.09146
     344.70       0.09419
     346.00       0.09586
     350.20       0.09981
     351.50       0.10054
     352.50       0.10158
     352.80       0.10186
     360.80       0.10754
     361.00       0.10770
     361.30       0.10805
     365.50       0.11233
     369.60       0.11771
     373.20       0.12360
     374.70       0.12650
     374.90       0.12685
     379.40       0.13716
     379.50       0.13715
     380.00       0.13732
     380.80       0.13736
     382.60       0.13745
     383.00       0.13685
     386.00       0.12757
     389.00       0.11616
     390.60       0.10910
     392.50       0.09967
     394.60       0.08804
     397.20       0.07139
     399.00       0.05863
     400.50       0.04719
     403.60       0.02202
     403.70       0.02160
     403.90       0.02076
     404.40       0.01863
     405.70       0.01297
     408.60       0.00000
