# LSST y-band total throughput at airmass 1.2
# File taken from https://raw.githubusercontent.com/lsst/throughputs/master/baseline/total_y.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     908.30       0.00000
     908.60       0.00070
     912.60       0.02948
     912.80       0.03056
     913.30       0.03303
     913.50       0.03431
     914.60       0.05219
     915.70       0.06417
     916.20       0.07320
     916.50       0.07997
     917.10       0.08819
     917.30       0.08972
     917.70       0.09335
     918.00       0.09657
     919.40       0.12339
     920.90       0.14701
     921.20       0.15046
     921.50       0.15347
     922.70       0.17162
     925.00       0.19934
     925.30       0.20392
     927.00       0.22919
     927.50       0.22932
     927.90       0.22713
     929.00       0.23375
     929.50       0.23388
     930.80       0.22143
     931.30       0.21558
     931.40       0.21422
     932.00       0.19575
     932.10       0.19493
     932.30       0.19326
     932.50       0.19154
     933.10       0.19656
     933.50       0.19443
     933.80       0.18262
     934.00       0.17460
     934.50       0.16887
     934.60       0.17487
     934.70       0.18090
     934.90       0.19307
     935.00       0.19921
     935.40       0.20832
     935.50       0.21036
     936.00       0.20347
     936.10       0.20446
     936.60       0.20759
     936.80       0.20584
     937.00       0.20408
     937.50       0.21604
     937.70       0.21808
     938.50       0.22451
     938.60       0.23042
     939.20       0.26608
     939.40       0.27812
     939.50       0.28412
     939.80       0.28061
     939.90       0.27945
     940.00       0.27830
     940.50       0.26071
     940.60       0.26037
     940.80       0.25970
     940.90       0.25938
     941.60       0.26715
     942.00       0.26478
     942.40       0.24394
     942.70       0.23095
     942.80       0.22707
     942.90       0.22319
     943.00       0.21931
     943.50       0.23347
     943.60       0.23097
     944.00       0.22099
     944.20       0.21642
     944.50       0.20961
     944.90       0.23111
     945.00       0.23647
     945.40       0.23978
     945.50       0.24062
     946.00       0.22448
     946.20       0.22669
     946.40       0.22890
     947.00       0.24510
     947.10       0.24453
     947.50       0.24227
     947.60       0.23794
     948.00       0.22068
     948.50       0.22921
     948.60       0.23519
     949.00       0.25907
     949.40       0.24589
     949.50       0.24260
     949.60       0.23793
     949.70       0.23327
     950.00       0.21930
     950.50       0.23541
     950.80       0.25285
     951.00       0.26444
     951.10       0.26343
     951.40       0.26040
     951.50       0.25940
     952.00       0.22687
     952.10       0.22511
     952.20       0.22335
     952.50       0.21808
     953.00       0.23473
     953.50       0.24488
     954.00       0.24698
     954.20       0.24521
     954.50       0.24256
     955.00       0.24387
     955.80       0.23524
     956.00       0.23300
     957.00       0.23610
     957.30       0.24718
     957.60       0.25472
     957.90       0.25524
     958.00       0.25541
     959.10       0.23539
     959.50       0.22994
     959.70       0.23350
     960.10       0.24052
     960.30       0.24393
     960.50       0.24733
     961.10       0.25382
     961.50       0.25814
     962.20       0.24577
     962.40       0.24073
     962.50       0.23821
     963.50       0.25615
     963.60       0.25529
     963.70       0.25444
     964.10       0.25169
     964.30       0.25130
     965.00       0.25434
     965.40       0.25942
     965.50       0.26068
     965.90       0.25564
     966.50       0.24312
     966.60       0.24396
     967.00       0.24730
     967.30       0.25850
     967.60       0.26705
     967.90       0.27038
     968.60       0.26519
     968.70       0.26567
     969.20       0.26811
     969.60       0.26884
     969.80       0.26724
     970.40       0.26372
     971.10       0.26441
     971.40       0.26174
     972.30       0.25658
     973.20       0.24880
     974.70       0.23848
     975.00       0.23616
     976.10       0.23269
     976.40       0.23300
     976.80       0.23615
     977.10       0.23847
     977.30       0.23907
     977.40       0.23937
     978.30       0.23341
     979.50       0.22693
     979.70       0.22680
     980.30       0.22636
     980.70       0.22776
     981.00       0.23007
     981.50       0.22994
     981.90       0.22735
     982.30       0.22438
     983.00       0.22036
     983.50       0.22136
     983.70       0.22129
     984.60       0.21746
     984.80       0.21615
     985.80       0.21352
     986.00       0.21334
     987.80       0.20598
     989.00       0.20228
     989.40       0.20044
     990.60       0.19571
     990.90       0.19493
     992.10       0.19127
     992.40       0.19014
     993.80       0.18605
     997.30       0.17523
     998.00       0.17289
    1000.40       0.16476
    1002.70       0.15585
    1003.20       0.15412
    1004.50       0.14892
    1009.60       0.12695
    1010.00       0.12543
    1010.40       0.12412
    1012.50       0.11594
    1013.20       0.11342
    1018.20       0.09647
    1021.00       0.08795
    1021.10       0.08767
    1026.30       0.07153
    1030.40       0.05889
    1034.30       0.04803
    1038.00       0.03961
    1040.50       0.03531
    1043.00       0.03163
    1045.50       0.02874
    1049.60       0.02494
    1052.70       0.02219
    1053.00       0.02185
    1057.00       0.01893
    1064.50       0.01464
    1065.90       0.01384
    1071.40       0.01160
    1073.80       0.00973
    1081.80       0.00466
    1083.30       0.00404
    1086.50       0.00254
    1090.20       0.00128
    1093.90       0.00039
    1099.60       0.00000
