# LSST z-band total throughput at airmass 1.2
# File taken from https://raw.githubusercontent.com/lsst/throughputs/master/baseline/total_z.dat
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     802.90       0.00000
     803.00       0.00000
     806.90       0.03434
     807.80       0.04220
     808.00       0.04397
     811.30       0.10124
     812.30       0.11818
     812.60       0.12315
     814.90       0.15654
     816.60       0.17943
     816.80       0.18376
     817.10       0.18980
     818.30       0.20725
     819.00       0.22255
     819.80       0.23596
     821.00       0.26752
     821.30       0.27232
     821.80       0.27870
     822.00       0.28078
     823.10       0.27182
     823.30       0.27781
     823.90       0.30385
     824.20       0.31498
     824.50       0.32412
     826.20       0.35326
     827.10       0.37096
     828.00       0.37274
     828.40       0.38246
     830.00       0.40540
     831.10       0.42011
     832.10       0.42396
     833.00       0.43297
     833.50       0.43219
     835.00       0.43754
     835.50       0.43662
     837.50       0.43856
     838.40       0.43912
     838.90       0.43941
     840.40       0.43936
     846.10       0.44058
     846.30       0.44033
     851.80       0.44076
     851.90       0.44090
     852.70       0.44133
     860.00       0.44354
     861.00       0.44327
     867.00       0.44398
     869.60       0.44353
     875.10       0.44146
     875.80       0.44104
     882.20       0.44022
     883.20       0.43927
     885.00       0.43834
     885.60       0.43698
     889.90       0.43432
     890.20       0.43351
     891.30       0.43104
     892.50       0.42805
     893.80       0.42166
     894.50       0.41796
     896.00       0.39917
     896.60       0.39167
     896.90       0.39004
     898.00       0.39619
     898.10       0.39289
     898.50       0.37972
     899.00       0.35773
     899.40       0.36544
     899.60       0.37011
     899.80       0.37562
     900.00       0.38108
     900.80       0.37619
     901.70       0.37943
     902.00       0.37832
     902.50       0.37504
     902.90       0.37884
     904.00       0.40200
     904.20       0.40109
     906.00       0.39416
     907.00       0.37226
     907.50       0.36783
     909.60       0.36568
     909.80       0.36455
     910.90       0.35679
     911.30       0.35568
     911.50       0.35483
     912.00       0.34614
     912.40       0.34654
     912.50       0.34664
     913.60       0.31339
     913.80       0.31386
     914.00       0.31427
     914.50       0.31848
     915.10       0.30196
     915.50       0.28265
     916.00       0.27949
     916.20       0.28279
     916.50       0.28748
     917.00       0.28039
     917.30       0.26970
     918.00       0.25130
     918.20       0.25129
     918.50       0.25112
     919.00       0.25079
     920.00       0.23790
     920.40       0.23415
     921.70       0.21072
     923.30       0.18675
     924.80       0.16109
     925.10       0.15661
     926.20       0.14111
     926.60       0.13543
     927.70       0.11436
     930.80       0.05859
     932.20       0.03504
     932.70       0.02968
     932.90       0.02794
     934.30       0.01555
     936.10       0.01002
     938.60       0.00000
