# WFC3 IR f125w total throughput
# File taken from http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables/f125w.IR.tab
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     799.90       0.00000
    1031.10       0.00000
    1071.30       0.00012
    1080.80       0.00217
    1086.30       0.00902
    1088.30       0.01591
    1090.20       0.02774
    1091.80       0.04435
    1093.50       0.07305
    1095.30       0.11881
    1096.50       0.15905
    1100.90       0.33937
    1101.80       0.37148
    1103.00       0.40684
    1104.30       0.43504
    1105.30       0.45005
    1107.30       0.46830
    1110.00       0.47809
    1116.30       0.48618
    1128.00       0.48995
    1131.90       0.48755
    1132.60       0.48699
    1135.30       0.48579
    1137.40       0.48559
    1145.90       0.49236
    1150.00       0.49108
    1153.60       0.48998
    1155.50       0.49243
    1163.50       0.50967
    1165.40       0.51054
    1168.70       0.50756
    1173.20       0.50344
    1177.30       0.50529
    1177.80       0.50600
    1182.00       0.50964
    1186.30       0.50818
    1186.90       0.50770
    1187.30       0.50732
    1189.80       0.50583
    1192.40       0.50611
    1203.00       0.51523
    1205.70       0.51475
    1214.00       0.51898
    1216.80       0.52017
    1226.20       0.51591
    1228.00       0.51654
    1231.70       0.52101
    1238.00       0.52904
    1242.40       0.52849
    1243.40       0.52776
    1249.40       0.52909
    1249.90       0.52970
    1254.30       0.53297
    1257.40       0.53269
    1262.70       0.52573
    1267.40       0.52205
    1269.80       0.52397
    1278.00       0.53709
    1280.30       0.53932
    1286.50       0.54049
    1290.10       0.53814
    1301.20       0.51834
    1302.80       0.51720
    1306.30       0.51838
    1312.80       0.53394
    1317.00       0.54344
    1319.90       0.54709
    1325.40       0.54840
    1329.50       0.54719
    1333.20       0.54403
    1337.10       0.53568
    1343.80       0.52116
    1346.90       0.51951
    1349.10       0.52051
    1360.50       0.53511
    1362.70       0.53478
    1369.80       0.53238
    1375.00       0.52638
    1377.90       0.52035
    1383.70       0.50040
    1385.40       0.49673
    1387.50       0.49577
    1389.80       0.50069
    1392.40       0.50851
    1393.90       0.50092
    1394.90       0.48552
    1395.90       0.46066
    1397.00       0.42112
    1397.70       0.39022
    1400.90       0.21643
    1401.90       0.16583
    1402.90       0.12312
    1404.40       0.07773
    1405.90       0.04972
    1407.80       0.02765
    1409.40       0.01719
    1411.40       0.01013
    1416.90       0.00286
    1427.40       0.00034
    1463.40       0.00001
    1700.00       0.00000
