# WFC3 UVIS f336w total throughput
# Average of UVIS1 and UVIS2 throughputs, from files
# http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables/f336w.UVIS1.tab
# http://www.stsci.edu/hst/wfc3/ins_performance/throughputs/Throughput_Tables/f336w.UVIS2.tab
#
#  Thinned by galsim.utilities.thin_tabulated_values to a relative error of 1.e-3
#  with fast_search=False.
#
# Wavelength(nm)  Throughput(0-1)
     198.90       0.00000
     199.00       0.00000
     271.30       0.00000
     295.10       0.00003
     299.00       0.00048
     300.20       0.00098
     302.10       0.00273
     303.10       0.00487
     304.10       0.00841
     305.10       0.01436
     306.10       0.02383
     307.00       0.03754
     307.90       0.05659
     308.10       0.06105
     310.10       0.12045
     310.30       0.12553
     311.10       0.14577
     312.00       0.16167
     312.20       0.16386
     314.20       0.17525
     314.40       0.17550
     315.40       0.17677
     315.60       0.17703
     316.00       0.17755
     317.70       0.18402
     320.20       0.19098
     320.30       0.19080
     320.70       0.19009
     321.80       0.19111
     323.60       0.19072
     324.30       0.19092
     326.10       0.19230
     327.20       0.19273
     328.00       0.19272
     331.60       0.19145
     332.10       0.19167
     333.00       0.19274
     334.10       0.19409
     335.60       0.19461
     337.10       0.19313
     339.80       0.18827
     340.20       0.18781
     344.60       0.18557
     346.10       0.18295
     349.40       0.17483
     351.00       0.17028
     355.20       0.15754
     357.10       0.15009
     357.90       0.14572
     360.30       0.13098
     362.50       0.12307
     363.30       0.11670
     364.00       0.10578
     364.20       0.10150
     364.80       0.08478
     366.20       0.04351
     366.30       0.04127
     367.10       0.02331
     368.10       0.01101
     369.10       0.00532
     370.10       0.00267
     372.10       0.00079
     374.10       0.00028
     382.90       0.00000
     452.20       0.00000
     963.50       0.00000
    1100.50       0.00000
