Lambda(nm) 	 Abs length (um)
255.00 	 0.005376
260.00 	 0.005181
265.00 	 0.004950
270.00 	 0.004673
275.00 	 0.004444
280.00 	 0.004292
285.00 	 0.004237
290.00 	 0.004348
295.00 	 0.004854
300.00 	 0.005556
305.00 	 0.006211
310.00 	 0.006803
315.00 	 0.007299
320.00 	 0.007752
325.00 	 0.008130
330.00 	 0.008475
335.00 	 0.008850
340.00 	 0.009174
345.00 	 0.009434
350.00 	 0.009615
355.00 	 0.009709
360.00 	 0.009804
365.00 	 0.010776
370.00 	 0.013755
375.00 	 0.020243
380.00 	 0.030769
385.00 	 0.044843
390.00 	 0.061728
395.00 	 0.079365
400.00 	 0.097087
405.00 	 0.118273
410.00 	 0.135230
415.00 	 0.160779
420.00 	 0.188879
425.00 	 0.215008
430.00 	 0.248565
435.00 	 0.280576
440.00 	 0.312637
445.00 	 0.339916
450.00 	 0.375516
455.00 	 0.421177
460.00 	 0.462770
465.00 	 0.519427
470.00 	 0.532396
475.00 	 0.586786
480.00 	 0.638651
485.00 	 0.678058
490.00 	 0.724795
495.00 	 0.754888
500.00 	 0.819471
505.00 	 0.888573
510.00 	 0.925497
515.00 	 1.032652
520.00 	 1.046835
525.00 	 1.159474
530.00 	 1.211754
535.00 	 1.273999
540.00 	 1.437339
545.00 	 1.450579
550.00 	 1.560939
555.00 	 1.641228
560.00 	 1.678331
565.00 	 1.693222
570.00 	 1.910329
575.00 	 1.965988
580.00 	 2.107881
585.00 	 2.183263
590.00 	 2.338634
595.00 	 2.302821
600.00 	 2.578183
605.00 	 2.540070
610.00 	 2.812702
615.00 	 2.907146
620.00 	 2.935392
625.00 	 3.088994
630.00 	 3.082139
635.00 	 3.311807
640.00 	 3.466084
645.00 	 3.551767
650.00 	 3.580123
655.00 	 3.716781
660.00 	 3.859216
665.00 	 4.007534
670.00 	 4.162331
675.00 	 4.323576
680.00 	 4.492161
685.00 	 4.667662
690.00 	 4.851307
695.00 	 5.042610
700.00 	 5.243014
705.00 	 5.451968
710.00 	 5.670863
715.00 	 5.899705
720.00 	 6.139489
725.00 	 6.390185
730.00 	 6.652917
735.00 	 6.928086
740.00 	 7.217090
745.00 	 7.519928
750.00 	 7.838219
755.00 	 8.171938
760.00 	 8.522969
765.00 	 8.891260
770.00 	 9.279881
775.00 	 9.688045
780.00 	 10.119102
785.00 	 10.572501
790.00 	 11.051556
795.00 	 11.556418
800.00 	 12.090436
805.00 	 12.654223
810.00 	 13.251527
815.00 	 13.883104
820.00 	 14.553287
825.00 	 15.263214
830.00 	 16.017940
835.00 	 16.818595
840.00 	 17.671903
845.00 	 18.578727
850.00 	 19.546903
855.00 	 20.578249
860.00 	 21.681627
865.00 	 22.860278
870.00 	 24.124288
875.00 	 25.477707
880.00 	 26.933125
885.00 	 28.495711
890.00 	 30.181390
895.00 	 31.995905
900.00 	 33.960470
905.00 	 36.082846
910.00 	 38.387716
915.00 	 40.886418
920.00 	 43.610990
925.00 	 46.578788
930.00 	 50.147936
935.00 	 53.455926
940.00 	 57.267209
945.00 	 61.599113
950.00 	 66.352598
955.00 	 71.802973
960.00 	 77.730276
965.00 	 84.423808
970.00 	 91.810503
975.00 	 100.049024
980.00 	 109.326777
985.00 	 120.098481
990.00 	 132.101967
995.00 	 145.853388
1000.00 	 162.345569
1005.00 	 180.515516
1010.00 	 202.860331
1015.00 	 228.060573
1020.00 	 258.191113
1025.00 	 295.011358
1030.00 	 340.808398
1035.00 	 394.960306
1040.00 	 460.893211
1045.00 	 541.418517
1050.00 	 640.697078
1055.00 	 760.282825
1060.00 	 912.075885
1065.00 	 1085.116542
1070.00 	 1255.510120
1075.00 	 1439.760424
1080.00 	 1647.500741
1085.00 	 1892.004389
1090.00 	 2181.025082
1095.00 	 2509.599217
1100.00 	 2896.955300
1105.00 	 3321.155762
1110.00 	 3854.455751
1115.00 	 4470.072862
1120.00 	 5222.477543
1125.00 	 6147.415012
1130.00 	 7263.746641
1135.00 	 8802.042074
1140.00 	 10523.214211
1145.00 	 12895.737959
1150.00 	 16091.399147
1155.00 	 20783.582632
1160.00 	 26934.575915
1165.00 	 35981.577432
1170.00 	 52750.962705
1175.00 	 90155.066715
1180.00 	 168918.918919
1185.00 	 288184.438040
1190.00 	 409836.065574
1195.00 	 534759.358289
1200.00 	 684931.506849
1205.00 	 900900.900901
1210.00 	 1190476.190476
1215.00 	 1552795.031056
1220.00 	 2024291.497976
1225.00 	 2673796.791444
1230.00 	 3610108.303249
1235.00 	 4830917.874396
1240.00 	 6896551.724138
1245.00 	 10416666.666667
1250.00 	 16920473.773266
1255.00 	 27700831.024931
1260.00 	 42918454.935622
1265.00 	 59880239.520958
1270.00 	 79365079.365079
1275.00 	 103842159.916926
1280.00 	 135317997.293640
1285.00 	 175746924.428822
1290.00 	 229357798.165138
1295.00 	 294117647.058824
1300.00 	 380228136.882129
1305.00 	 497512437.810945
1310.00 	 657894736.842105
1315.00 	 877192982.456140
1320.00 	 1204819277.108434
1325.00 	 1680672268.907563
1330.00 	 2518891687.657431
1335.00 	 3816793893.129771
1340.00 	 5882352941.176471
1345.00 	 7999999999.999999
1350.00 	 10298661174.047373
1355.00 	 14430014430.014431
1360.00 	 17211703958.691910
1365.00 	 21786492374.727669
1370.00 	 27932960893.854748
1375.00 	 34482758620.689659
1380.00 	 41666666666.666672
1385.00 	 54347826086.956520
1390.00 	 63694267515.923569
1395.00 	 86956521739.130432
1400.00 	 106837606837.606827
1405.00 	 128205128205.128204
1410.00 	 185528756957.328400
1415.00 	 182815356489.945160
1420.00 	 263157894736.842072
1425.00 	 398406374501.992065
1430.00 	 558659217877.094971
1435.00 	 469483568075.117371
1440.00 	 833333333333.333374
1445.00 	 917431192660.550415
1450.00 	 1058201058201.058228
