X0             Y0             Theta          X              Y              
15.0000        15.0000        3.1811         10.0007        14.8026        
15.0000        15.0000        3.2287         10.0007        14.5637        
15.0000        15.0000        3.2762         10.0007        14.3227        
15.0000        15.0000        3.3238         10.0007        14.0787        
15.0000        15.0000        3.3714         10.0007        13.8303        
15.0000        15.0000        3.4190         10.0007        13.5764        
15.0000        15.0000        3.4666         10.0006        13.3154        
15.0000        15.0000        3.5142         10.0007        13.0460        
15.0000        15.0000        3.5618         10.0007        12.7663        
15.0000        15.0000        3.6094         10.0007        12.4744        
15.0000        15.0000        3.6570         10.0006        12.1681        
15.0000        15.0000        3.7046         10.0006        11.8449        
15.0000        15.0000        3.7522         10.0006        11.5016        
15.0000        15.0000        3.7997         10.0007        11.1348        
15.0000        15.0000        3.8473         10.0007        10.7398        
15.0000        15.0000        3.8949         10.0007        10.3114        
15.0000        15.0000        3.9425         10.0006        9.8429         
15.0000        15.0000        3.9892         10.4474        9.8427         
15.0000        15.0000        4.0359         10.8591        9.8428         
15.0000        15.0000        4.0825         11.2409        9.8429         
15.0000        15.0000        4.1292         11.5976        9.8430         
15.0000        15.0000        4.1759         11.9330        9.8430         
15.0000        15.0000        4.2225         12.2502        9.8430         
15.0000        15.0000        4.2692         12.5520        9.8431         
15.0000        15.0000        4.3159         12.8408        9.8431         
15.0000        15.0000        4.3625         13.1184        9.8431         
15.0000        15.0000        4.4092         13.3867        9.8432         
15.0000        15.0000        4.4559         13.6473        9.8432         
15.0000        15.0000        4.5025         13.9016        9.8432         
15.0000        15.0000        4.5492         14.1509        9.8431         
15.0000        15.0000        4.5959         14.3964        9.8433         
15.0000        15.0000        4.6425         14.6392        9.8432         
15.0000        15.0000        4.6892         14.8804        9.8432         
15.0000        15.0000        4.7359         15.1211        9.8432         
15.0000        15.0000        4.7825         15.3623        9.8432         
15.0000        15.0000        4.8292         15.6051        9.8433         
15.0000        15.0000        4.8759         15.8506        9.8432         
15.0000        15.0000        4.9225         16.1000        9.8432         
15.0000        15.0000        4.9692         16.3543        9.8431         
15.0000        15.0000        5.0159         16.6149        9.8432         
15.0000        15.0000        5.0625         16.8833        9.8432         
15.0000        15.0000        5.1092         17.1610        9.8432         
15.0000        15.0000        5.1559         17.4497        9.8432         
15.0000        15.0000        5.2025         17.7516        9.8432         
15.0000        15.0000        5.2492         18.0690        9.8431         
15.0000        15.0000        5.2959         18.4045        9.8431         
15.0000        15.0000        5.3425         18.7613        9.8430         
15.0000        15.0000        5.3892         19.1432        9.8431         
15.0000        15.0000        5.4359         19.5550        9.8430         
15.0000        15.0000        5.4826         20.0005        9.8427         
15.0000        15.0000        -0.7531        20.0015        10.3119        
15.0000        15.0000        -0.7055        20.0016        10.7401        
15.0000        15.0000        -0.6579        20.0016        11.1350        
