X0             Y0             Theta          X              Y              
15.0000        15.0000        3.2446         10.0013        14.4835        
15.0000        15.0000        3.4191         10.0012        13.5762        
15.0000        15.0000        3.5936         10.0013        12.5729        
15.0000        15.0000        3.7681         10.0012        11.3817        
15.0000        15.0000        3.9427         10.0011        9.8420         
15.0000        15.0000        4.1138         11.4829        9.8439         
15.0000        15.0000        4.2849         12.6508        9.8441         
15.0000        15.0000        4.4560         13.6481        9.8441         
15.0000        15.0000        4.6271         14.5590        9.8443         
15.0000        15.0000        4.7982         15.4433        9.8443         
15.0000        15.0000        4.9693         16.3543        9.8442         
15.0000        15.0000        5.1404         17.3519        9.8443         
15.0000        15.0000        5.3115         18.5203        9.8442         
15.0000        15.0000        5.4826         20.0029        9.8424         
15.0000        15.0000        -0.6262        20.0031        11.3813        
15.0000        15.0000        -0.4518        20.0031        12.5722        
15.0000        15.0000        -0.2774        20.0032        13.5756        
15.0000        15.0000        -0.1029        20.0033        14.4832        
15.0000        15.0000        0.0715         20.0034        15.3583        
15.0000        15.0000        0.2459         20.0035        16.2559        
15.0000        15.0000        0.4203         20.0037        17.2366        
15.0000        15.0000        0.5948         20.0040        18.3851        
15.0000        15.0000        0.7692         20.0042        19.8445        
15.0000        15.0000        0.9473         18.4859        19.8466        
15.0000        15.0000        1.1253         17.3140        19.8466        
15.0000        15.0000        1.3034         16.3275        19.8463        
15.0000        15.0000        1.4815         15.4339        19.8463        
15.0000        15.0000        1.6596         14.5685        19.8462        
15.0000        15.0000        1.8377         13.6751        19.8461        
15.0000        15.0000        2.0158         12.6892        19.8459        
15.0000        15.0000        2.1938         11.5183        19.8457        
15.0000        15.0000        2.3719         10.0018        19.8439        
15.0000        15.0000        2.5464         10.0015        18.3842        
15.0000        15.0000        2.7210         10.0014        17.2360        
15.0000        15.0000        2.8955         10.0013        16.2556        
15.0000        15.0000        3.0700         10.0014        15.3583        
15.0000        25.0000        3.2444         10.0020        24.4844        
15.0000        25.0000        3.4189         10.0019        23.5772        
15.0000        25.0000        3.5935         10.0018        22.5740        
15.0000        25.0000        3.7680         10.0017        21.3831        
15.0000        25.0000        3.9425         10.0017        19.8439        
15.0000        25.0000        4.1137         11.4836        19.8458        
15.0000        25.0000        4.2848         12.6516        19.8460        
15.0000        25.0000        4.4560         13.6489        19.8462        
15.0000        25.0000        4.6272         14.5597        19.8463        
15.0000        25.0000        4.7983         15.4440        19.8464        
15.0000        25.0000        4.9695         16.3549        19.8466        
15.0000        25.0000        5.1406         17.3526        19.8466        
15.0000        25.0000        5.3118         18.5211        19.8467        
15.0000        25.0000        5.4830         20.0038        19.8455        
15.0000        25.0000        -0.6259        20.0046        21.3828        
15.0000        25.0000        -0.4515        20.0048        22.5733        
15.0000        25.0000        -0.2771        20.0051        23.5765        
15.0000        25.0000        -0.1027        20.0052        24.4841        
15.0000        25.0000        0.0717         20.0054        25.3593        
15.0000        25.0000        0.2460         20.0058        26.2572        
15.0000        25.0000        0.4204         20.0060        27.2381        
15.0000        25.0000        0.5948         20.0065        28.3871        
15.0000        25.0000        0.7692         20.0070        29.8470        
15.0000        25.0000        0.9472         18.4873        29.8482        
15.0000        25.0000        1.1253         17.3149        29.8480        
15.0000        25.0000        1.3034         16.3282        29.8477        
15.0000        25.0000        1.4814         15.4344        29.8475        
15.0000        25.0000        1.6595         14.5690        29.8474        
15.0000        25.0000        1.8375         13.6755        29.8472        
15.0000        25.0000        2.0156         12.6896        29.8469        
15.0000        25.0000        2.1937         11.5189        29.8467        
15.0000        25.0000        2.3717         10.0025        29.8449        
15.0000        25.0000        2.5463         10.0022        28.3850        
15.0000        25.0000        2.7208         10.0021        27.2367        
15.0000        25.0000        2.8953         10.0020        26.2563        
15.0000        25.0000        3.0699         10.0019        25.3591        
15.0000        35.0000        3.2443         10.0028        34.4848        
15.0000        35.0000        3.4189         10.0027        33.5777        
15.0000        35.0000        3.5934         10.0026        32.5747        
15.0000        35.0000        3.7680         10.0025        31.3839        
15.0000        35.0000        3.9425         10.0023        29.8448        
15.0000        35.0000        4.1137         11.4846        29.8468        
15.0000        35.0000        4.2849         12.6527        29.8471        
15.0000        35.0000        4.4562         13.6501        29.8474        
15.0000        35.0000        4.6274         14.5609        29.8475        
15.0000        35.0000        4.7986         15.4452        29.8477        
15.0000        35.0000        4.9698         16.3563        29.8479        
15.0000        35.0000        5.1410         17.3543        29.8481        
15.0000        35.0000        5.3122         18.5233        29.8483        
15.0000        35.0000        5.4835         20.0065        29.8474        
15.0000        35.0000        -0.6254        20.0075        31.3837        
15.0000        35.0000        -0.4512        20.0079        32.5737        
15.0000        35.0000        -0.2769        20.0083        33.5767        
15.0000        35.0000        -0.1026        20.0086        34.4843        
15.0000        35.0000        0.0717         20.0089        35.3596        
15.0000        35.0000        0.2460         20.0094        36.2575        
15.0000        35.0000        0.4202         20.0098        37.2386        
15.0000        35.0000        0.5945         20.0103        38.3875        
15.0000        35.0000        0.7688         20.0109        39.8468        
15.0000        35.0000        0.9469         18.4896        39.8479        
15.0000        35.0000        1.1250         17.3166        39.8475        
15.0000        35.0000        1.3031         16.3297        39.8473        
15.0000        35.0000        1.4812         15.4356        39.8471        
15.0000        35.0000        1.6593         14.5701        39.8468        
15.0000        35.0000        1.8373         13.6766        39.8467        
15.0000        35.0000        2.0154         12.6908        39.8465        
15.0000        35.0000        2.1935         11.5202        39.8462        
15.0000        35.0000        2.3716         10.0041        39.8445        
15.0000        35.0000        2.5462         10.0033        38.3850        
15.0000        35.0000        2.7207         10.0031        37.2368        
15.0000        35.0000        2.8953         10.0031        36.2565        
15.0000        35.0000        3.0698         10.0030        35.3594        
15.0000        45.0000        3.2445         10.0038        44.4841        
15.0000        45.0000        3.4190         10.0038        43.5772        
15.0000        45.0000        3.5936         10.0037        42.5743        
15.0000        45.0000        3.7681         10.0036        41.3835        
