X0             Y0             Theta          X              Y              
35.0000        35.0000        3.2285         30.0029        34.5646        
35.0000        35.0000        3.4031         30.0029        33.6624        
35.0000        35.0000        3.5778         30.0027        32.6708        
35.0000        35.0000        3.7524         30.0026        31.5014        
35.0000        35.0000        3.9270         30.0024        30.0025        
35.0000        35.0000        4.1016         31.5014        30.0026        
35.0000        35.0000        4.2762         32.6708        30.0027        
35.0000        35.0000        4.4509         33.6624        30.0029        
35.0000        35.0000        4.6255         34.5646        30.0029        
35.0000        35.0000        4.8001         35.4394        30.0030        
35.0000        35.0000        4.9747         36.3417        30.0032        
35.0000        35.0000        5.1493         37.3337        30.0033        
35.0000        35.0000        5.3239         38.5038        30.0035        
35.0000        35.0000        5.4986         40.0021        30.0038        
35.0000        35.0000        -0.6102        40.0033        31.5019        
35.0000        35.0000        -0.4357        40.0034        32.6706        
35.0000        35.0000        -0.2613        40.0037        33.6621        
35.0000        35.0000        -0.0868        40.0038        34.5645        
35.0000        35.0000        0.0876         40.0039        35.4396        
35.0000        35.0000        0.2621         40.0042        36.3424        
35.0000        35.0000        0.4365         40.0043        37.3347        
35.0000        35.0000        0.6110         40.0047        38.5051        
35.0000        35.0000        0.7854         40.0051        40.0048        
35.0000        35.0000        0.9599         38.5047        40.0046        
35.0000        35.0000        1.1343         37.3345        40.0043        
35.0000        35.0000        1.3088         36.3422        40.0041        
35.0000        35.0000        1.4832         35.4395        40.0039        
35.0000        35.0000        1.6576         34.5644        40.0037        
35.0000        35.0000        1.8321         33.6621        40.0035        
35.0000        35.0000        2.0065         32.6705        40.0034        
35.0000        35.0000        2.1810         31.5018        40.0033        
35.0000        35.0000        2.3554         30.0067        40.0030        
35.0000        35.0000        2.5300         30.0035        38.5038        
35.0000        35.0000        2.7047         30.0033        37.3337        
35.0000        35.0000        2.8793         30.0032        36.3417        
35.0000        35.0000        3.0539         30.0031        35.4394        
35.0000        45.0000        3.2285         30.0044        44.5646        
35.0000        45.0000        3.4032         30.0043        43.6626        
35.0000        45.0000        3.5778         30.0041        42.6711        
35.0000        45.0000        3.7524         30.0039        41.5017        
35.0000        45.0000        3.9271         30.0037        40.0047        
35.0000        45.0000        4.1017         31.5028        40.0033        
35.0000        45.0000        4.2764         32.6720        40.0035        
35.0000        45.0000        4.4510         33.6635        40.0037        
35.0000        45.0000        4.6256         34.5655        40.0039        
35.0000        45.0000        4.8003         35.4402        40.0041        
35.0000        45.0000        4.9749         36.3425        40.0042        
35.0000        45.0000        5.1496         37.3345        40.0045        
35.0000        45.0000        5.3242         38.5048        40.0047        
35.0000        45.0000        5.4988         40.0047        40.0053        
35.0000        45.0000        -0.6100        40.0054        41.5020        
35.0000        45.0000        -0.4356        40.0057        42.6705        
35.0000        45.0000        -0.2612        40.0060        43.6620        
35.0000        45.0000        -0.0868        40.0063        44.5645        
35.0000        45.0000        0.0876         40.0065        45.4398        
35.0000        45.0000        0.2620         40.0068        46.3427        
35.0000        45.0000        0.4364         40.0072        47.3354        
35.0000        45.0000        0.6108         40.0077        48.5060        
35.0000        45.0000        0.7852         40.0082        50.0061        
35.0000        45.0000        0.9597         38.5068        50.0054        
35.0000        45.0000        1.1341         37.3359        50.0049        
35.0000        45.0000        1.3086         36.3432        50.0046        
35.0000        45.0000        1.4830         35.4403        50.0043        
35.0000        45.0000        1.6575         34.5650        50.0042        
35.0000        45.0000        1.8320         33.6626        50.0040        
35.0000        45.0000        2.0064         32.6710        50.0038        
35.0000        45.0000        2.1809         31.5023        50.0036        
35.0000        45.0000        2.3553         30.0057        50.0033        
35.0000        45.0000        2.5300         30.0050        48.5031        
35.0000        45.0000        2.7046         30.0049        47.3332        
35.0000        45.0000        2.8793         30.0047        46.3414        
35.0000        45.0000        3.0539         30.0045        45.4392        
35.0000        55.0000        3.2286         30.0062        54.5642        
35.0000        55.0000        3.4033         30.0061        53.6622        
35.0000        55.0000        3.5780         30.0058        52.6706        
35.0000        55.0000        3.7527         30.0056        51.5011        
35.0000        55.0000        3.9274         30.0054        50.0093        
35.0000        55.0000        4.1020         31.5053        50.0036        
35.0000        55.0000        4.2767         32.6741        50.0039        
35.0000        55.0000        4.4513         33.6654        50.0041        
35.0000        55.0000        4.6260         34.5673        50.0044        
35.0000        55.0000        4.8006         35.4420        50.0046        
35.0000        55.0000        4.9753         36.3444        50.0047        
35.0000        55.0000        5.1499         37.3366        50.0051        
35.0000        55.0000        5.3246         38.5072        50.0055        
35.0000        55.0000        5.4993         40.0081        50.0063        
35.0000        55.0000        -0.6096        40.0087        51.5020        
35.0000        55.0000        -0.4353        40.0092        52.6702        
35.0000        55.0000        -0.2611        40.0096        53.6617        
35.0000        55.0000        -0.0868        40.0099        54.5643        
35.0000        55.0000        0.0875         40.0103        55.4397        
35.0000        55.0000        0.2618         40.0107        56.3428        
35.0000        55.0000        0.4361         40.0112        57.3355        
35.0000        55.0000        0.6104         40.0116        58.5059        
35.0000        55.0000        0.7847         40.0123        60.0050        
35.0000        55.0000        0.9592         38.5097        60.0047        
35.0000        55.0000        1.1337         37.3381        60.0043        
35.0000        55.0000        1.3082         36.3450        60.0040        
35.0000        55.0000        1.4827         35.4419        60.0037        
35.0000        55.0000        1.6572         34.5665        60.0035        
35.0000        55.0000        1.8317         33.6641        60.0032        
35.0000        55.0000        2.0062         32.6726        60.0030        
35.0000        55.0000        2.1807         31.5040        60.0029        
35.0000        55.0000        2.3552         30.0073        60.0027        
35.0000        55.0000        2.5299         30.0069        58.5023        
35.0000        55.0000        2.7046         30.0068        57.3325        
35.0000        55.0000        2.8793         30.0066        56.3408        
35.0000        55.0000        3.0540         30.0064        55.4387        
35.0000        65.0000        3.2287         30.0078        64.5642        
35.0000        65.0000        3.4033         30.0077        63.6626        
35.0000        65.0000        3.5780         30.0076        62.6714        
35.0000        65.0000        3.7527         30.0074        61.5023        
35.0000        65.0000        3.9274         30.0072        60.0043        
35.0000        65.0000        4.1021         31.5051        60.0030        
35.0000        65.0000        4.2768         32.6742        60.0032        
35.0000        65.0000        4.4514         33.6657        60.0034        
35.0000        65.0000        4.6261         34.5679        60.0037        
35.0000        65.0000        4.8008         35.4429        60.0039        
35.0000        65.0000        4.9755         36.3456        60.0041        
35.0000        65.0000        5.1502         37.3383        60.0044        
35.0000        65.0000        5.3249         38.5096        60.0048        
35.0000        65.0000        5.4995         40.0109        60.0057        
35.0000        65.0000        -0.6095        40.0129        61.5005        
35.0000        65.0000        -0.4353        40.0133        62.6687        
35.0000        65.0000        -0.2611        40.0136        63.6604        
35.0000        65.0000        -0.0869        40.0140        64.5632        
35.0000        65.0000        0.0873         40.0143        65.4388        
35.0000        65.0000        0.2615         40.0146        66.3419        
35.0000        65.0000        0.4357         40.0149        67.3344        
35.0000        65.0000        0.6098         40.0153        68.5041        
35.0000        65.0000        0.7840         40.0156        70.0010        
35.0000        65.0000        0.9586         38.5122        70.0020        
35.0000        65.0000        1.1332         37.3401        70.0017        
35.0000        65.0000        1.3078         36.3467        70.0016        
35.0000        65.0000        1.4824         35.4435        70.0014        
35.0000        65.0000        1.6569         34.5681        70.0014        
35.0000        65.0000        1.8315         33.6657        70.0013        
35.0000        65.0000        2.0061         32.6741        70.0012        
35.0000        65.0000        2.1807         31.5054        70.0011        
35.0000        65.0000        2.3553         30.0092        70.0010        
35.0000        65.0000        2.5299         30.0083        68.5011        
35.0000        65.0000        2.7046         30.0082        67.3316        
35.0000        65.0000        2.8793         30.0082        66.3402        
35.0000        65.0000        3.0540         30.0079        65.4385        
35.0000        75.0000        3.2290         30.0086        74.5627        
35.0000        75.0000        3.4037         30.0086        73.6610        
35.0000        75.0000        3.5784         30.0086        72.6697        
35.0000        75.0000        3.7531         30.0086        71.5004        
35.0000        75.0000        3.9278         30.0085        70.0017        
35.0000        75.0000        4.1024         31.5066        70.0013        
35.0000        75.0000        4.2771         32.6753        70.0013        
35.0000        75.0000        4.4517         33.6667        70.0014        
35.0000        75.0000        4.6264         34.5690        70.0015        
35.0000        75.0000        4.8010         35.4442        70.0015        
35.0000        75.0000        4.9757         36.3473        70.0017        
35.0000        75.0000        5.1503         37.3405        70.0019        
35.0000        75.0000        5.3250         38.5126        70.0020        
35.0000        75.0000        5.4996         40.0141        70.0025        
35.0000        75.0000        -0.6094        40.0159        71.4986        
35.0000        75.0000        -0.4353        40.0159        72.6673        
35.0000        75.0000        -0.2612        40.0160        73.6593        
35.0000        75.0000        -0.0871        40.0160        74.5622        
35.0000        75.0000        0.0871         40.0160        75.4378        
35.0000        75.0000        0.2612         40.0160        76.3407        
35.0000        75.0000        0.4353         40.0159        77.3327        
35.0000        75.0000        0.6094         40.0159        78.5014        
35.0000        75.0000        0.7835         40.0157        79.9971        
35.0000        75.0000        0.9582         38.5124        79.9979        
35.0000        75.0000        1.1329         37.3404        79.9981        
35.0000        75.0000        1.3075         36.3472        79.9983        
35.0000        75.0000        1.4822         35.4440        79.9983        
35.0000        75.0000        1.6569         34.5688        79.9985        
35.0000        75.0000        1.8315         33.6664        79.9986        
35.0000        75.0000        2.0062         32.6748        79.9987        
35.0000        75.0000        2.1808         31.5059        79.9988        
35.0000        75.0000        2.3555         30.0099        79.9989        
35.0000        75.0000        2.5302         30.0086        78.4989        
35.0000        75.0000        2.7049         30.0086        77.3297        
35.0000        75.0000        2.8796         30.0087        76.3385        
35.0000        75.0000        3.0543         30.0087        75.4368        
35.0000        85.0000        3.2292         30.0081        84.5618        
35.0000        85.0000        3.4038         30.0081        83.6600        
35.0000        85.0000        3.5785         30.0083        82.6686        
35.0000        85.0000        3.7532         30.0084        81.4991        
35.0000        85.0000        3.9279         30.0085        79.9997        
35.0000        85.0000        4.1025         31.5054        79.9989        
35.0000        85.0000        4.2771         32.6741        79.9988        
35.0000        85.0000        4.4516         33.6656        79.9987        
35.0000        85.0000        4.6262         34.5680        79.9986        
35.0000        85.0000        4.8008         35.4433        79.9986        
35.0000        85.0000        4.9754         36.3465        79.9985        
35.0000        85.0000        5.1500         37.3399        79.9982        
35.0000        85.0000        5.3245         38.5119        79.9980        
35.0000        85.0000        5.4991         40.0155        79.9976        
35.0000        85.0000        -0.6099        40.0152        81.4955        
35.0000        85.0000        -0.4357        40.0149        82.6652        
35.0000        85.0000        -0.2615        40.0147        83.6577        
35.0000        85.0000        -0.0874        40.0144        84.5608        
35.0000        85.0000        0.0868         40.0140        85.4364        
35.0000        85.0000        0.2610         40.0138        86.3391        
35.0000        85.0000        0.4352         40.0134        87.3308        
35.0000        85.0000        0.6094         40.0130        88.4989        
35.0000        85.0000        0.7835         40.0123        89.9937        
35.0000        85.0000        0.9582         38.5103        89.9951        
35.0000        85.0000        1.1329         37.3389        89.9956        
35.0000        85.0000        1.3076         36.3462        89.9959        
35.0000        85.0000        1.4823         35.4434        89.9961        
