X0             Y0             Theta          X              Y              
15.0000        15.0000        3.2288         10.0006        14.5630        
15.0000        15.0000        3.4033         10.0005        13.6607        
15.0000        15.0000        3.5779         10.0005        12.6690        
15.0000        15.0000        3.7524         10.0005        11.4995        
15.0000        15.0000        3.9270         10.0005        10.0006        
15.0000        15.0000        4.1015         11.4995        10.0005        
15.0000        15.0000        4.2761         12.6690        10.0005        
15.0000        15.0000        4.4507         13.6607        10.0005        
15.0000        15.0000        4.6252         14.5630        10.0006        
15.0000        15.0000        4.7998         15.4379        10.0005        
15.0000        15.0000        4.9743         16.3403        10.0006        
15.0000        15.0000        5.1489         17.3322        10.0006        
15.0000        15.0000        5.3234         18.5019        10.0007        
15.0000        15.0000        5.4980         20.0008        10.0006        
15.0000        15.0000        -0.6107        20.0012        11.4994        
15.0000        15.0000        -0.4362        20.0011        12.6689        
15.0000        15.0000        -0.2617        20.0012        13.6606        
15.0000        15.0000        -0.0872        20.0012        14.5630        
15.0000        15.0000        0.0874         20.0013        15.4380        
15.0000        15.0000        0.2619         20.0014        16.3405        
15.0000        15.0000        0.4364         20.0015        17.3325        
15.0000        15.0000        0.6109         20.0015        18.5023        
15.0000        15.0000        0.7854         20.0017        20.0016        
15.0000        15.0000        0.9599         18.5022        20.0015        
15.0000        15.0000        1.1344         17.3324        20.0014        
15.0000        15.0000        1.3089         16.3404        20.0014        
15.0000        15.0000        1.4834         15.4380        20.0013        
15.0000        15.0000        1.6580         14.5630        20.0012        
15.0000        15.0000        1.8325         13.6606        20.0012        
15.0000        15.0000        2.0070         12.6689        20.0011        
15.0000        15.0000        2.1815         11.4994        20.0012        
15.0000        15.0000        2.3560         10.0013        20.0011        
15.0000        15.0000        2.5306         10.0007        18.5019        
15.0000        15.0000        2.7051         10.0006        17.3322        
15.0000        15.0000        2.8797         10.0006        16.3403        
15.0000        15.0000        3.0542         10.0005        15.4379        
15.0000        25.0000        3.2287         10.0007        24.5634        
15.0000        25.0000        3.4033         10.0007        23.6611        
15.0000        25.0000        3.5778         10.0007        22.6694        
15.0000        25.0000        3.7524         10.0007        21.5000        
15.0000        25.0000        3.9269         10.0006        20.0013        
15.0000        25.0000        4.1015         11.4999        20.0013        
15.0000        25.0000        4.2761         12.6694        20.0013        
15.0000        25.0000        4.4507         13.6611        20.0013        
15.0000        25.0000        4.6253         14.5634        20.0013        
15.0000        25.0000        4.7999         15.4383        20.0015        
15.0000        25.0000        4.9744         16.3407        20.0015        
15.0000        25.0000        5.1490         17.3326        20.0016        
15.0000        25.0000        5.3236         18.5025        20.0016        
15.0000        25.0000        5.4982         20.0011        20.0018        
15.0000        25.0000        -0.6105        20.0018        21.5003        
15.0000        25.0000        -0.4360        20.0019        22.6694        
15.0000        25.0000        -0.2616        20.0020        23.6610        
15.0000        25.0000        -0.0871        20.0020        24.5634        
15.0000        25.0000        0.0874         20.0022        25.4384        
15.0000        25.0000        0.2619         20.0022        26.3409        
15.0000        25.0000        0.4364         20.0023        27.3329        
15.0000        25.0000        0.6109         20.0026        28.5028        
15.0000        25.0000        0.7853         20.0027        30.0022        
15.0000        25.0000        0.9599         18.5031        30.0022        
15.0000        25.0000        1.1344         17.3331        30.0021        
15.0000        25.0000        1.3089         16.3409        30.0019        
15.0000        25.0000        1.4834         15.4383        30.0017        
15.0000        25.0000        1.6579         14.5633        30.0017        
15.0000        25.0000        1.8324         13.6609        30.0016        
15.0000        25.0000        2.0069         12.6691        30.0016        
15.0000        25.0000        2.1814         11.4997        30.0016        
15.0000        25.0000        2.3559         10.0011        30.0016        
15.0000        25.0000        2.5305         10.0009        28.5022        
15.0000        25.0000        2.7050         10.0009        27.3325        
15.0000        25.0000        2.8796         10.0008        26.3406        
15.0000        25.0000        3.0542         10.0009        25.4382        
15.0000        35.0000        3.2287         10.0012        34.5634        
15.0000        35.0000        3.4033         10.0011        33.6613        
15.0000        35.0000        3.5778         10.0011        32.6696        
15.0000        35.0000        3.7524         10.0010        31.5003        
15.0000        35.0000        3.9269         10.0010        30.0018        
15.0000        35.0000        4.1015         11.5001        30.0017        
15.0000        35.0000        4.2761         12.6697        30.0017        
15.0000        35.0000        4.4507         13.6615        30.0019        
15.0000        35.0000        4.6253         14.5637        30.0019        
15.0000        35.0000        4.7999         15.4386        30.0020        
15.0000        35.0000        4.9745         16.3410        30.0021        
15.0000        35.0000        5.1491         17.3330        30.0021        
15.0000        35.0000        5.3237         18.5029        30.0023        
15.0000        35.0000        5.4983         20.0028        30.0025        
15.0000        35.0000        -0.6104        20.0030        31.5001        
15.0000        35.0000        -0.4360        20.0031        32.6691        
15.0000        35.0000        -0.2616        20.0033        33.6606        
15.0000        35.0000        -0.0871        20.0034        34.5629        
15.0000        35.0000        0.0873         20.0036        35.4379        
15.0000        35.0000        0.2617         20.0037        36.3403        
15.0000        35.0000        0.4361         20.0038        37.3322        
15.0000        35.0000        0.6106         20.0041        38.5018        
15.0000        35.0000        0.7850         20.0043        40.0004        
15.0000        35.0000        0.9596         18.5053        40.0020        
15.0000        35.0000        1.1341         17.3346        40.0019        
15.0000        35.0000        1.3086         16.3421        40.0018        
15.0000        35.0000        1.4832         15.4393        40.0017        
15.0000        35.0000        1.6577         14.5640        40.0016        
15.0000        35.0000        1.8323         13.6615        40.0015        
15.0000        35.0000        2.0068         12.6696        40.0015        
15.0000        35.0000        2.1814         11.5001        40.0013        
15.0000        35.0000        2.3559         10.0018        40.0014        
15.0000        35.0000        2.5305         10.0013        38.5020        
15.0000        35.0000        2.7050         10.0013        37.3323        
15.0000        35.0000        2.8796         10.0013        36.3405        
15.0000        35.0000        3.0541         10.0012        35.4382        
15.0000        45.0000        3.2287         10.0016        44.5633        
15.0000        45.0000        3.4033         10.0015        43.6612        
15.0000        45.0000        3.5779         10.0016        42.6696        
15.0000        45.0000        3.7524         10.0015        41.5004        
15.0000        45.0000        3.9270         10.0014        40.0016        
15.0000        45.0000        4.1016         11.5005        40.0014        
15.0000        45.0000        4.2762         12.6701        40.0015        
15.0000        45.0000        4.4508         13.6620        40.0016        
15.0000        45.0000        4.6255         14.5644        40.0017        
15.0000        45.0000        4.8001         15.4394        40.0017        
15.0000        45.0000        4.9747         16.3420        40.0019        
15.0000        45.0000        5.1493         17.3343        40.0020        
15.0000        45.0000        5.3239         18.5047        40.0021        
15.0000        45.0000        5.4986         20.0034        40.0025        
15.0000        45.0000        -0.6102        20.0046        41.5006        
15.0000        45.0000        -0.4358        20.0047        42.6694        
15.0000        45.0000        -0.2614        20.0049        43.6609        
15.0000        45.0000        -0.0870        20.0049        44.5633        
15.0000        45.0000        0.0874         20.0051        45.4384        
15.0000        45.0000        0.2618         20.0052        46.3410        
15.0000        45.0000        0.4362         20.0053        47.3330        
15.0000        45.0000        0.6106         20.0055        48.5026        
15.0000        45.0000        0.7850         20.0057        50.0003        
15.0000        45.0000        0.9595         18.5048        50.0009        
15.0000        45.0000        1.1341         17.3343        50.0008        
15.0000        45.0000        1.3086         16.3419        50.0007        
15.0000        45.0000        1.4832         15.4393        50.0006        
15.0000        45.0000        1.6577         14.5642        50.0006        
15.0000        45.0000        1.8323         13.6618        50.0006        
15.0000        45.0000        2.0068         12.6699        50.0006        
15.0000        45.0000        2.1814         11.5006        50.0005        
15.0000        45.0000        2.3560         10.0020        50.0005        
15.0000        45.0000        2.5305         10.0017        48.5015        
15.0000        45.0000        2.7051         10.0016        47.3320        
15.0000        45.0000        2.8796         10.0017        46.3402        
15.0000        45.0000        3.0542         10.0016        45.4380        
15.0000        55.0000        3.2289         10.0017        54.5626        
15.0000        55.0000        3.4034         10.0018        53.6605        
15.0000        55.0000        3.5780         10.0017        52.6689        
15.0000        55.0000        3.7525         10.0017        51.4995        
15.0000        55.0000        3.9271         10.0017        50.0009        
